,id,description,direction_destinations,direction_names,long_name,short_name,type
45,18,Local Bus,"['Ashmont Station', 'Andrew Station']","['Outbound', 'Inbound']",Ashmont Station - Andrew Station,18,3
46,19,Local Bus,"['Fields Corner Station', 'Kenmore or Ruggles Station']","['Outbound', 'Inbound']",Fields Corner Station - Kenmore or Ruggles Station,19,3
47,21,Local Bus,"['Ashmont Station', 'Forest Hills Station']","['Outbound', 'Inbound']",Ashmont Station - Forest Hills Station,21,3
48,22,Key Bus,"['Ashmont Station', 'Ruggles Station']","['Outbound', 'Inbound']",Ashmont Station - Ruggles Station via Talbot Ave,22,3
49,23,Key Bus,"['Ashmont Station', 'Ruggles Station']","['Outbound', 'Inbound']",Ashmont Station - Ruggles Station via Washington Street,23,3
50,24,Local Bus,"['Wakefield Avenue & Truman Parkway', 'Ashmont Station']","['Outbound', 'Inbound']",Wakefield Avenue & Truman Parkway - Ashmont Station,24,3
51,26,Local Bus,"['Ashmont Station', 'Norfolk Street Loop']","['Outbound', 'Inbound']",Ashmont Station - Norfolk Street Loop,26,3
52,28,Key Bus,"['Mattapan Station', 'Ruggles Station']","['Outbound', 'Inbound']",Mattapan Station - Ruggles Station,28,3
53,29,Local Bus,"['Mattapan Station', 'Jackson Square Station']","['Outbound', 'Inbound']",Mattapan Station - Jackson Square Station,29,3
54,30,Local Bus,"['Mattapan Station', 'Forest Hills Station']","['Outbound', 'Inbound']",Mattapan Station - Forest Hills Station via Cummins Highway and Roslindale Square,30,3
55,31,Local Bus,"['Mattapan Station', 'Forest Hills Station']","['Outbound', 'Inbound']",Mattapan Station - Forest Hills Station via Morton Street,31,3
56,32,Key Bus,"['Wolcott or Cleary Square', 'Forest Hills Station']","['Outbound', 'Inbound']",Wolcott or Cleary Square - Forest Hills Station,32,3
57,33,Local Bus,"['River Street & Milton Street', 'Mattapan Station']","['Outbound', 'Inbound']",River Street & Milton Street - Mattapan Station,33,3
58,34,Local Bus,"['Dedham Square', 'Forest Hills Station']","['Outbound', 'Inbound']",Dedham Square - Forest Hills Station,34,3
59,34E,Local Bus,"['Walpole Center', 'Forest Hills Station']","['Outbound', 'Inbound']",Walpole Center - Forest Hills Station,34E,3
60,35,Local Bus,"['Dedham Mall or Stimson Street', 'Forest Hills Station']","['Outbound', 'Inbound']",Dedham Mall or Stimson Street - Forest Hills Station,35,3
61,36,Local Bus,"['Millennium Park or VA Hospital', 'Forest Hills Station']","['Outbound', 'Inbound']",Millennium Park or VA Hospital - Forest Hills Station,36,3
62,37,Local Bus,"['Baker Street & Vermont Street', 'Forest Hills Station']","['Outbound', 'Inbound']",Baker Street & Vermont Street - Forest Hills Station,37,3
63,38,Local Bus,"['Wren Street', 'Forest Hills Station']","['Outbound', 'Inbound']",Wren Street - Forest Hills Station,38,3
64,39,Key Bus,"['Forest Hills Station', 'Back Bay Station']","['Outbound', 'Inbound']",Forest Hills Station - Back Bay Station,39,3
65,40,Local Bus,"['Georgetowne', 'Forest Hills Station']","['Outbound', 'Inbound']",Georgetowne - Forest Hills Station,40,3
66,41,Local Bus,"['Centre Street & Eliot Street', 'JFK/UMass Station']","['Outbound', 'Inbound']",Centre Street & Eliot Street - JFK/UMass Station,41,3
67,42,Local Bus,"['Forest Hills Station', 'Nubian Station']","['Outbound', 'Inbound']",Forest Hills Station - Nubian Station,42,3
68,43,Local Bus,"['Ruggles Station', 'Park Street Station']","['Outbound', 'Inbound']",Ruggles Station - Park Street Station,43,3
69,44,Local Bus,"['Jackson Square Station', 'Ruggles Station']","['Outbound', 'Inbound']",Jackson Square Station - Ruggles Station,44,3
70,45,Local Bus,"['Franklin Park', 'Ruggles Station']","['Outbound', 'Inbound']",Franklin Park - Ruggles Station,45,3
71,47,Local Bus,"['Central Square, Cambridge', 'Broadway Station']","['Outbound', 'Inbound']","Central Square, Cambridge - Broadway Station",47,3
72,50,Local Bus,"['Cleary Square', 'Forest Hills Station']","['Outbound', 'Inbound']",Cleary Square - Forest Hills Station,50,3
73,51,Local Bus,"['Reservoir Station', 'Forest Hills Station']","['Outbound', 'Inbound']",Reservoir Station - Forest Hills Station,51,3
74,52,Local Bus,"['Dedham Mall', 'Watertown Yard']","['Outbound', 'Inbound']",Dedham Mall - Watertown Yard,52,3
75,55,Local Bus,"['Fenway', 'Copley Square']","['Outbound', 'Inbound']",Fenway - Copley Square,55,3
76,57,Key Bus,"['Watertown Yard', 'Kenmore Station']","['Outbound', 'Inbound']",Watertown Yard - Kenmore Station,57,3
77,59,Local Bus,"['Needham Junction', 'Watertown Square']","['Outbound', 'Inbound']",Needham Junction - Watertown Square,59,3
78,60,Local Bus,"['Chestnut Hill', 'Kenmore Station']","['Outbound', 'Inbound']",Chestnut Hill - Kenmore Station,60,3
79,61,Local Bus,"['North Waltham', 'Waltham Center']","['Outbound', 'Inbound']",North Waltham - Waltham Center,61,3
80,62,Local Bus,"['Bedford VA Hospital', 'Alewife Station']","['Outbound', 'Inbound']",Bedford VA Hospital - Alewife Station,62,3
81,627,Local Bus,"['Bedford VA Hospital', 'Alewife Station']","['Outbound', 'Inbound']",Bedford VA Hospital - Alewife Station via Hanscom Airport,62/76,3
82,64,Local Bus,"['Oak Square', 'University Park or Kendall/MIT Station']","['Outbound', 'Inbound']",Oak Square - University Park or Kendall/MIT Station,64,3
83,65,Local Bus,"['Brighton Center', 'Kenmore Station']","['Outbound', 'Inbound']",Brighton Center - Kenmore Station,65,3
84,66,Key Bus,"['Harvard Square', 'Nubian Station']","['Outbound', 'Inbound']",Harvard Square - Nubian Station,66,3
