,Unnamed: 0,id,stop_name,description,longitude,latitude,address,at_street,on_street,municipality,location_type,has_wheelchair_boarding,vehicle_type,neighborhood
254,254,node-417-platform,Courthouse,Courthouse - Bottom of escalator from outbound platform to exit-only gates,,,,,,Boston,3,1,,
255,255,node-pktrm-tremstairfare-paid,Park Street,Park Street - Paid side of fare gates,,,,,,Boston,3,1,,
263,263,792,Belgrade Ave @ Penfield St,,-71.135028,42.286241,,Penfield Street,Belgrade Avenue,Boston,0,1,3.0,Roslindale
266,266,1141,Centre St opp New Heath St,,-71.096534,42.326102,,New Heath Street,Centre Street,Boston,0,1,3.0,Roxbury
270,270,door-shmnl-savin,Savin Hill - Savin Hill Ave,Savin Hill - Savin Hill Ave,-71.053302,42.311299,,,,Boston,2,1,,Dorchester
271,271,node-coecl-ebfareunpaid,Copley,Copley - Unpaid side of fare gates,-71.078072,42.349835,,,,Boston,3,1,,Back Bay
273,273,node-smmnl-sbstairs-platform,Shawmut,Shawmut - Bottom of Ashmont stairs,-71.065922,42.293212,,,,Boston,3,1,,Dorchester
274,274,70242,Symphony,Symphony - Green Line - Park Street & North,-71.085056,42.342687,,,,Boston,0,2,0.0,Fenway
277,277,MM-0023-S,JFK/UMass,JFK/UMass - Commuter Rail - Track 1 (All Trains),-71.052391,42.320685,,,,Boston,0,1,2.0,Dorchester
279,279,5240,Morton St @ Courtland Rd,,-71.093576,42.286305,,Courtland Road,Morton Street,Boston,0,1,3.0,Mattapan
282,282,6573,S Huntington Ave @ VA Hospital,,-71.111284,42.326594,,,South Huntington Avenue,Boston,0,1,3.0,Jamaica Plain
286,286,node-396-lobby,Aquarium,Aquarium - Bottom of escalator from lobby to State Street,,,,,,Boston,3,1,,
290,290,node-state-cityhall-fareunpaid,State,State - Unpaid side of fare gates,,,,,,Boston,3,1,,
292,292,10820,Veterans Hospital West Roxbury,,-71.171831,42.275343,,,,Boston,0,1,3.0,West Roxbury
293,293,node-307-lobby,Sullivan Square,Sullivan Square - Top of Escalator 307,,,,,,Boston,3,1,,
301,301,70187,Fenway,Fenway - Green Line - (D) Riverside,-71.104968,42.345029,,,,Boston,0,1,0.0,Fenway
312,312,1500,Dudley St @ Howard Ave,,-71.071274,42.320062,,Howard Avenue,Dudley Street,Boston,0,1,3.0,Roxbury
313,313,350,Dorchester Ave @ Dewar St,,-71.057799,42.310088,,Dewar Street,Dorchester Avenue,Boston,0,1,3.0,Dorchester
317,317,3,Washington St @ Melnea Cass Blvd - Silver Line,Washington St @ Melnea Cass Blvd - Silver Line - South Station/Downtown Crossing,-71.080799,42.333021,"Washington St and Melnea Cass Blvd, Roxbury, MA",Melnea Cass Boulevard,Washington Street,Boston,0,1,3.0,Roxbury
319,319,node-418-entrance,Courthouse,Courthouse - Top of escalator from lobby to Fan Pier Boulevard,,,,,,Boston,3,1,,
321,321,node-394-platform,Aquarium,Aquarium - Bottom of escalator from Wonderland platform to State Street,,,,,,Boston,3,1,,
323,323,2845,Bunker Hill St @ Baldwin St,,-71.069733,42.382401,,Baldwin Street,Bunker Hill Street,Boston,0,1,3.0,Charlestown
324,324,1506,Hancock St @ Trull St,,-71.064654,42.312677,,Trull Street,Hancock Street,Boston,0,1,3.0,Dorchester
328,328,node-chncl-ogfareunpaid,Chinatown,Chinatown - Unpaid side of fare gates,,,,,,Boston,3,1,,
330,330,node-state-wonderlandoldstatestairs-landing,State,"State - Top of stairs between Wonderland platform and State St, Devonshire St",,,,,,Boston,3,1,,
331,331,node-401-top,World Trade Center,World Trade Center - Top of second World Trade Center entrance escalator,,,,,,Boston,3,1,,
334,334,55012,Alford St @ MBTA Charlestown Garage,,-71.072882,42.386901,,,Alford Street,Boston,0,1,3.0,Charlestown
338,338,374,Talbot Ave @ Talbot Station,,-71.077978,42.292015,,Westcott Street,Talbot Avenue,Boston,0,1,3.0,Dorchester
341,341,537,Dorchester Ave @ Gallivan Blvd,,-71.0659,42.280386,,Gallivan Boulevard,Dorchester Avenue,Boston,0,1,3.0,Dorchester
343,343,node-436-lobby,Arlington,Arlington - Top of westbound escalator,,,,,,Boston,3,1,,
344,344,node-andrw-ibramp-top,Andrew,Andrew - Top of inbound lobby ramp,,,,,,Boston,3,1,,
345,345,node-130-lobby,Forest Hills,Forest Hills - Top of Orange Line platform south escalator,-71.114218,42.300698,,,,Boston,3,1,,Jamaica Plain
346,346,node-kencl-commstair-lobby,Kenmore,Kenmore - Bottom of Commonwealth Avenue stairs,,,,,,Boston,3,1,,
348,348,16459,Cummins Hwy @ Regis Rd,,-71.096952,42.269672,,Regis Road,Cummins Highway,Boston,0,1,3.0,Mattapan
349,349,270,Columbia Rd @ P St,,-71.027186,42.332487,,P Street,Columbia Road,Boston,0,2,3.0,South Boston
351,351,5236,Washington St @ Glen Rd,,-71.104245,42.309638,,Glen Road,Washington Street,Boston,0,1,3.0,Jamaica Plain
352,352,door-ccmnl-main,"Community College - Community College, Rutherford Ave","Community College - Community College, Rutherford Ave",-71.0696,42.373719,,,,Boston,2,1,,Charlestown
354,354,632,Washington St @ Cornell St,,-71.135573,42.279437,,Cornell Street,Washington Street,Boston,0,1,3.0,Roslindale
355,355,1184,Washington St opp Townsend St,,-71.094006,42.320155,,Townsend Street,Washington Street,Boston,0,1,3.0,Roxbury
356,356,15,Dorchester St @ Vinton St,,-71.054238,42.330825,,Vinton Street,Dorchester Street,Boston,0,1,3.0,South Boston
358,358,1104,N Beacon St opp Vineland St,,-71.152801,42.357,,Vineland Street,North Beacon Street,Boston,0,1,3.0,Brighton
359,359,11735,Ames St @ Franklin Field,,-71.082689,42.290104,,Stratton Street,Ames Street,Boston,0,1,3.0,Dorchester
363,363,6517,Turtle Pond Pkwy @ Bajko Rink,,-71.138871,42.248797,,,Turtle Pond Parkway,Boston,0,1,3.0,Hyde Park
369,369,33761,Gallivan Blvd opp Carruth St,,-71.059982,42.281631,,Carruth Street,Gallivan Boulevard,Boston,0,0,3.0,Dorchester
372,372,node-906-passage,Haymarket,"Haymarket - Bottom of elevator between Green Line, busway and Orange Line passageway",,,,,,Boston,3,1,,
379,379,1709,Blue Hill Ave @ Greenock St,,-71.089874,42.289639,,Callender Street,Blue Hill Avenue,Boston,0,1,3.0,Dorchester
381,381,19,Dorchester St @ Old Harbor St,,-71.047576,42.334495,,Old Harbor Street,Dorchester Street,Boston,0,1,3.0,South Boston
382,382,place-kencl,Kenmore,,-71.095169,42.348949,"Commonwealth Ave and Kenmore St, Boston, MA 02215",,,Boston,1,1,,Fenway
384,384,70087,Savin Hill,Savin Hill - Red Line - Ashmont,-71.053678,42.310603,,,,Boston,0,1,1.0,Dorchester
386,386,place-NB-0072,Bellevue,,-71.145557,42.286588,"35 Colbert St, West Roxbury, MA 02132",,,Boston,1,1,,Roslindale
388,388,node-978-lobby,Park Street,Park Street - Bottom of elevator between Boston Common and Copley & West platform,-71.062692,42.356355,,,,Boston,3,1,,Beacon Hill
391,391,1296,Washington St opp Euston Rd,,-71.144416,42.344593,,Euston Road,Washington Street,Boston,0,1,3.0,Brighton
393,393,1382,43 W Dedham St,,-71.072691,42.341882,,,West Dedham Street,Boston,0,1,3.0,South End
400,400,node-143-lobby,Back Bay,Back Bay - Top of Tracks 1-3 up escalator,,,,,,Boston,3,1,,
401,401,268,Columbia Rd @ O St,,-71.029247,42.331676,,O Street,Columbia Road,Boston,0,2,3.0,South Boston
403,403,BNT-0000-05,North Station,North Station - Commuter Rail - Track 5,-71.062601,42.366618,,,,Boston,0,1,2.0,West End
407,407,439,247 Norfolk St opp Capen St,,-71.081358,42.284214,,Capen Street,Norfolk Street,Boston,0,1,3.0,Dorchester
412,412,2840,Main St @ Baldwin St,,-71.070852,42.38125,,Baldwin Street,Main Street,Boston,0,1,3.0,Charlestown
415,415,70198,Park Street,Park Street - Green Line - (D) Riverside,-71.062424,42.356395,,,,Boston,0,1,0.0,Beacon Hill
416,416,node-sstat-400stair-rl,South Station,South Station - Bottom of stairs for Ashmont/Braintree,,,,,,Boston,3,1,,
417,417,29003,Sullivan Square,Sullivan Square - Upper Berth 3,-71.076511,42.384266,,,Busway,Boston,0,1,3.0,Charlestown
420,420,node-state-cityhall-farepaid,State,State - Paid side of fare gates,,,,,,Boston,3,1,,
421,421,10413,Columbus Ave @ Weld Ave - Egleston Sq,,-71.097377,42.314898,,Dixwell Street,Columbus Avenue,Boston,0,1,3.0,Roxbury
422,422,278,E 8th St @ L St,,-71.035149,42.331504,,L Street,East Eighth Street,Boston,0,1,3.0,South Boston
427,427,614,Washington St @ Rockingham Ave,,-71.154223,42.264139,,Rockingham Avenue,Washington Street,Boston,0,1,3.0,West Roxbury
428,428,node-kencl-beacstair-lobby,Kenmore,Kenmore - Bottom of Beacon Street stairs,,,,,,Boston,3,1,,
432,432,137,Charles Park Rd @ Rivermoor St,,-71.175492,42.278907,,Rivermoor Street,Charles Park Road,Boston,0,1,3.0,West Roxbury
433,433,769,Centre St opp Glenhaven Rd,,-71.161904,42.270185,,Glenhaven Road,Centre Street,Boston,0,1,3.0,West Roxbury
435,435,5842,Bennington St @ Byron St,,-71.016436,42.383407,,Byron Street,Bennington Street,Boston,0,1,3.0,East Boston
438,438,node-bbsta-2stairs-lobby,Back Bay,Back Bay - Top of Track 2 stairs,,,,,,Boston,3,1,,
440,440,1720,Blue Hill Ave @ Mattapan Sq,,-71.093955,42.26876,,Fairway Street,Blue Hill Avenue,Boston,0,1,3.0,Mattapan
441,441,412,Warren St @ Crawford St,,-71.083262,42.310421,,Crawford Street,Warren Street,Boston,0,1,3.0,Roxbury
443,443,node-pktrm-tremefare-paid,Park Street,Park Street - Paid side of exit-only gate,,,,,,Boston,3,1,,
445,445,11780,Ave Louis Pasteur @ Longwood Ave,,-71.102457,42.337969,,,Avenue Louis Pasteur,Boston,0,1,3.0,Longwood
446,446,node-aqucl-nstatestairs-landingtop,Aquarium,Aquarium - Landing for stairs for State Stree north,,,,,,Boston,3,1,,
448,448,2790,347 West St,,-71.130262,42.267019,,,West Street,Boston,0,1,3.0,Hyde Park
452,452,1856,170 Walter St,,-71.130566,42.294728,,Weld Street,Walter Street,Boston,0,1,3.0,Roslindale
454,454,11599,Seaport Blvd @ Fan Pier Blvd,,-71.046914,42.352561,,Thompson Place,Seaport Boulevard,Boston,0,1,3.0,South Boston Waterfront
457,457,571,Dorchester Ave @ Washington St,,-71.068104,42.272456,,Adams Street,Dorchester Avenue,Boston,0,1,3.0,Mattapan
458,458,29006,Sullivan Square,Sullivan Square - Upper Berth 6,-71.076521,42.383909,,,Busway,Boston,0,1,3.0,Charlestown
466,466,node-pktrm-stair7-gl,Park Street,Park Street - Top of stairs between Alewife platform and Government Center & North platform,,,,,,Boston,3,1,,
468,468,934,Commonwealth Ave @ Pleasant St,,-71.118201,42.35123,,Pleasant Street,Commonwealth Avenue,Boston,0,1,3.0,
470,470,node-523-street,State,State - Top of escalator from lobby to Milk Street,,,,,,Boston,3,1,,
471,471,place-nubn,Nubian,,-71.083982,42.329544,"Washington St and Dudley St, Roxbury, MA",,,Boston,1,1,,Roxbury
475,475,node-state-exchange-fareunpaid,State,State - Unpaid side of fare gates,,,,,,Boston,3,1,,
476,476,808,Centre St opp Bellevue st,,-71.156956,42.284044,,McKenna Terrace,Centre Street,Boston,0,1,3.0,West Roxbury
477,477,247,Northern Ave @ Harbor St,Northern Ave @ Harbor St - Silver Line - SL2 Design Center,-71.035301,42.346634,"Northern Ave and Harbor St, Boston, MA 02210",Harbor Street,Northern Avenue,Boston,0,1,3.0,South Boston Waterfront
478,478,1378,Harvard Ave @ Commonwealth Ave,,-71.130722,42.350034,,Commonwealth Avenue Frontage Road Eastbound,Harvard Avenue,Boston,0,1,3.0,Allston
481,481,6415,Truman Hwy @ Chittick Rd,,-71.123996,42.248375,,Chittick Road,Truman Highway,Boston,0,1,3.0,Hyde Park
488,488,38813,Keystone Apartments,,-71.048564,42.279443,,,,Boston,0,1,3.0,Dorchester
492,492,node-pktrm-stair5-gl,Park Street,Park Street - Top of stairs between Alewife platform and Copley & West platform,,,,,,Boston,3,1,,
493,493,door-andrw-exitonly,Andrew - Southampton St,Andrew - Southampton St,-71.057863,42.330004,,,,Boston,2,2,,South Boston
495,495,node-andrw-sibingress,Andrew,Andrew - South inbound platform ingress point,,,,,,Boston,3,1,,
500,500,node-856-lobby,Back Bay,Back Bay - Top of Tracks 5-7 elevator,,,,,,Boston,3,1,,
501,501,1032,Chestnut Hill Ave opp Wiltshire Rd,,-71.153726,42.342645,,Hatherly Road,Chestnut Hill Avenue,Boston,0,1,3.0,Brighton
504,504,793,Belgrade Ave @ Pinehurst St,,-71.132805,42.286337,,Pinehurst Street,Belgrade Avenue,Boston,0,1,3.0,Roslindale
508,508,1115,Cambridge St @ Seattle St,,-71.123967,42.358658,,Windom Street,Cambridge Street,Boston,0,1,3.0,Allston
509,509,1853,Weld St opp Wedgewood Rd,,-71.136678,42.294255,,Wedgewood Road,Weld Street,Boston,0,1,3.0,West Roxbury
511,511,node-mvbcl-msqstair-entrance,Maverick,Maverick - Top of stairs between Maverick Square and lobby,-71.039522,42.369118,,,,Boston,3,1,,East Boston
512,512,147,Herald St @ Tremont St,,-71.068436,42.347374,,Tremont Street,Herald Street,Boston,0,1,3.0,South End
515,515,1877,Weld St @ Morey St,,-71.140097,42.293627,,Morey Road,Weld Street,Boston,0,1,3.0,West Roxbury
516,516,70245,Museum of Fine Arts,Museum of Fine Arts - Green Line - (E) Heath Street,-71.09524,42.337875,,,,Boston,0,1,0.0,Fenway
517,517,11319,W Second St opp W Third St,,-71.055038,42.343047,,West Third Street,West Second Street,Boston,0,1,3.0,South Boston Waterfront
519,519,place-chswk,Chiswick Road,,-71.150711,42.340805,"Commonwealth Ave and Chiswick Rd, Boston, MA",,,Boston,1,2,,Brighton
520,520,node-947-lobby,Savin Hill,Savin Hill - Top of elevator between Sydney Street and lobby,-71.053661,42.310859,,,,Boston,3,1,,Dorchester
524,524,1346,Humboldt Ave @ Townsend St,,-71.086546,42.317285,,Townsend Street,Humboldt Avenue,Boston,0,1,3.0,Roxbury
525,525,node-859-platform,Tufts Medical Center,Tufts Medical Center - Bottom of Elevator 859,,,,,,Boston,3,1,,
530,530,85565,Baker St opp Varick Rd,,-71.169626,42.283778,,Varick Road,Baker Street,Boston,0,1,3.0,West Roxbury
533,533,8805,Neponset Ave @ Tolman St,,-71.047238,42.288645,,Tolman Street,Neponset Avenue,Boston,0,1,3.0,Dorchester
534,534,1491,Dudley St @ Harrison Ave,,-71.082962,42.328655,,Harrison Avenue,Dudley Street,Boston,0,1,3.0,Roxbury
538,538,994,Winship St @ Union St,,-71.152305,42.346204,,Union Street,Winship Street,Boston,0,1,3.0,Brighton
539,539,16500,950 American Legion Hwy,,-71.116515,42.274306,,,American Legion Highway,Boston,0,1,3.0,Hyde Park
544,544,1562,132 Brookline Ave opp Fullerton St,,-71.100835,42.344908,,,Brookline Avenue,Boston,0,1,3.0,Fenway
547,547,node-fldcr-farepaid,Fields Corner,Fields Corner - Paid side of fare gates,-71.061699,42.300049,,,,Boston,3,1,,Dorchester
548,548,node-spmnl-ofarepaid,Science Park/West End,Science Park/West End - Paid side of fare gates,-71.067927,42.36666,,,,Boston,3,1,,West End
549,549,2929,Columbia Rd @ Intervale St,,-71.073962,42.308895,,,Columbia Road,Boston,0,1,3.0,Dorchester
550,550,node-andrw-nibstairs-lobby,Andrew,Andrew - Top of north inbound stairs,,,,,,Boston,3,1,,
552,552,1576,Blue Hill Ave @ Dudley St,,-71.075227,42.324862,,Mount Pleasant Avenue,Blue Hill Avenue,Boston,0,1,3.0,Roxbury
