,id,stop_name,description,longitude,latitude,address,at_street,on_street,municipality,location_type,has_wheelchair_boarding,vehicle_type
48,door-jfk-oldcolony,"JFK/UMass - Busway, JFK Library, Mount Vernon St (Stairs)","JFK/UMass - Busway, JFK Library, Mount Vernon St (Stairs)",-71.051623,42.320829,,,,Boston,2,2,
49,1615,Georgetowne Dr @ Margaretta Dr,,-71.144959,42.25809,,,Georgetowne Drive,Boston,0,1,3.0
50,3944,Opp 41 Independence Ave,,-71.00531,42.230354,,Holmes Street,Independence Avenue,Braintree,0,1,3.0
51,node-mvbcl-lewfareunpaid,Maverick,Maverick - Unpaid side of Lewis Mall fare gates,-71.040301,42.368184,,,,Boston,3,1,
52,20761,Harvard,Harvard - Upper Busway,-71.11897,42.374217,,,Harvard Busway,Cambridge,0,1,3.0
53,9159,Riverside Ave @ Hall St,,-71.089816,42.410994,,Hall Street,Riverside Avenue,Medford,0,1,3.0
54,4931,Andover St @ Pound Ln,,-70.929316,42.534874,,Andover Terrace,Andover Street,Peabody,0,1,3.0
55,76052,South St @ Russell St,,-71.249977,42.375512,,Russell Street,South Street,Waltham,0,1,3.0
56,NEC-2265-01,Ruggles,Ruggles - Commuter Rail - Track 1,-71.089517,42.336339,,,,Boston,0,1,2.0
57,5637,Chelsea St @ Victoria St,,-71.054381,42.4064,,Victoria Street,Chelsea Street,Everett,0,1,3.0
58,5104,Davis,Davis - Busway,-71.121879,42.396646,,College Avenue,Busway,Somerville,0,1,3.0
59,525,Morton St @ Greendale Rd,,-71.093181,42.28537,,Wellington Hill Street,Morton Street,Boston,0,1,3.0
60,14548,Highland Ave @ Hawthorne Sq,,-70.921548,42.504419,,,Highland Avenue,Salem,0,1,3.0
61,PB-0281-S,Halifax,Halifax - Commuter Rail - Track 1 (All Trains),-70.824263,42.014739,,,,Halifax,0,1,2.0
62,node-state-ogoldstatehousestairs-nbplatform,State,"State - Bottom of stairs between Oak Grove platform and State St, Devonshire St",,,,,,Boston,3,1,
63,5689,Chelsea St @ Irving St,,-71.04637,42.403156,,Irving Street,Chelsea Street,Everett,0,1,3.0
64,2419,High St @ Pitcher Ave,,-71.139183,42.421038,,Pitcher Avenue,High Street,Medford,0,0,3.0
65,node-770-bottom,Medford/Tufts,Medford/Tufts - Bottom of Elevator 770,-71.117009,42.407966,,,,Medford,3,1,
66,FR-0201,Concord,Concord - Commuter Rail,-71.357677,42.456565,,,,Concord,0,2,2.0
67,5441,Salem St @ Granville Ave,,-71.054536,42.431174,,Cross Street,Salem Street,Malden,0,0,3.0
68,node-998-ol,Downtown Crossing,Downtown Crossing - Top of elevator between Alewife platform and Oak Grove platform,,,,,,Boston,3,1,
69,MM-0200,Brockton,Brockton - Commuter Rail,-71.016534,42.084659,,,,Brockton,0,1,2.0
70,5538,Park Ave @ Allston St,,-71.016755,42.411196,,Allston Street,Park Avenue,Revere,0,1,3.0
71,10768,Centre St @ Grove St,,-71.161907,42.268863,,Grove Street,Centre Street,Boston,0,1,3.0
72,16538,Chauncy St @ Summer St,,-71.059508,42.354271,,Summer Street,Chauncey Street,Boston,0,1,3.0
73,3618,Bridge St @ Bayview St,,-70.954102,42.2428,,Bayview Street,Bridge Street,Weymouth,0,1,3.0
74,9096,Grove St @ Gooch St,,-71.056828,42.453896,,Faxon Street,Grove Street,Melrose,0,1,3.0
75,5585,40 Park Ave,,-71.013618,42.410236,,,Park Avenue,Revere,0,1,3.0
76,6104,Lafayette St @ Harbor St,,-70.893016,42.516983,,Washington Street,Lafayette Street,Salem,0,1,3.0
77,1470,Bowdoin St @ Norton St,,-71.06809,42.305319,,Olney Street,Bowdoin Street,Boston,0,1,3.0
78,49797,7 Oak Park Dr,,-71.250897,42.516176,,,Oak Park Drive,Bedford,0,1,3.0
79,node-923-platform,Aquarium,Aquarium - Bottom of elevator between Bowdoin platform and Atlantic Avenue,,,,,,Boston,3,1,
80,2422,Medford St @ Webcowet Rd,,-71.14606,42.418504,,Webcowet Road,Medford Street,Arlington,0,1,3.0
81,70130,Harvard Avenue,Harvard Avenue - Green Line - Park Street & North,-71.131298,42.350263,,,,Boston,0,1,0.0
82,door-shmnl-sydney,Savin Hill - South Sydney St,Savin Hill - South Sydney St,-71.053701,42.310856,,,,Boston,2,1,
83,16001,Wyoming Ave @ Melbourne Ave,,-71.077159,42.454298,,Whittier Street,West Wyoming Avenue,Melrose,0,1,3.0
84,3985,1002 S Franklin St,,-71.012296,42.123766,,Woodlawn Avenue,South Franklin Street,Holbrook,0,1,3.0
85,node-jfk-ashcolstair-lobby,JFK/UMass,"JFK/UMass - Top of stairs from Ashmont, Alewife platform and Columbia Road",-71.052585,42.321284,,,,Boston,3,1,
86,ER-0183-01,Beverly,Beverly - Commuter Rail - Track 1 (Outbound),-70.885432,42.547276,,,,Beverly,0,1,2.0
87,2083,Huron Ave @ Gurney St,,-71.137926,42.381198,,Chilton Street,Huron Avenue,Cambridge,0,1,3.0
88,10821,Charles Park Rd @ VFW Pkwy,,-71.172521,42.276826,,Veterans Of Foreign Wars Parkway,Charles Park Road,Boston,0,1,3.0
89,9054,Highland Ave @ Thacher St,,-71.079831,42.42026,,Thacher Street,Highland Avenue,Malden,0,1,3.0
90,49836,Pine St opp Felton St,,-71.128156,42.485828,,Felton Street,Pine Street,Woburn,0,1,3.0
91,node-840-lobby,Sullivan Square,Sullivan Square - Top of Elevator 840,,,,,,Boston,3,1,
92,7961,Forest St @ Heard Rd,,-71.17617,42.43183,,Park Avenue Extension,Forest Street,Arlington,0,1,3.0
93,2551,N Harvard St @ Gate 2 Harvard Stadium,,-71.125108,42.366948,,,North Harvard Street,Boston,0,1,3.0
94,86458,Cummins Hwy @ Calvary Cemetery,,-71.114692,42.277571,,Mount Calvary Road,Cummins Highway,Boston,0,1,3.0
95,5903,Lexington St @ Marion St,,-71.037177,42.377783,,Marion Street,Lexington Street,Boston,0,1,3.0
96,node-406-lobby,Aquarium,Aquarium - Bottom of escalator from lobby to Atlantic Avenue,,,,,,Boston,3,1,
97,2420,High St @ Mystic Valley Pkwy,,-71.141849,42.420656,,,High Street,Medford,0,1,3.0
98,7123,Cabot St opp Colon St,,-70.880516,42.557806,,Colon Street,Cabot Street,Beverly,0,1,3.0
99,4227,625 S Main St opp Frederickson Dr,,-71.040927,42.14215,,Frederickson Drive,South Main Street,Randolph,0,1,3.0
100,4216,S Main St @ Woodlawn St,,-71.0435,42.15862,,Van Beal Road,South Main Street,Randolph,0,1,3.0
101,86968,Lexington St @ Whitlowe Rd,,-71.239519,42.359108,,Whitlowe Road,Lexington Street,Newton,0,1,3.0
102,6376,River St @ Metropolitan Ave,,-71.115601,42.260492,,Metropolitan Avenue,River Street,Boston,0,1,3.0
103,place-belsq,Bellingham Square,,-71.033884,42.395438,,,,Chelsea,1,1,
104,5058,Belmont St @ Main St,,-71.064299,42.415327,,Main Street,Belmont Street,Malden,0,1,3.0
105,6752,Holyoke St @ Myrtle St,,-70.976675,42.468743,,Myrtle Street,Holyoke Street,Lynn,0,0,3.0
106,6394,Beacon St @ Metropolitan Ave,,-71.112847,42.255414,,Vose Avenue,Beacon Street,Boston,0,1,3.0
107,4367,Pleasant St @ Mathaurs St,,-71.064182,42.249623,,Mathaurs Street,Pleasant Street,Milton,0,1,3.0
108,191,Congress St @ North St,,-71.057129,42.360387,,North Street,Congress Street,Boston,0,1,3.0
109,WML-0125-01,Wellesley Farms,Wellesley Farms - Commuter Rail - Track 1,-71.272288,42.323608,,,,Wellesley,0,2,2.0
110,NEC-2040,Mansfield,Mansfield - Commuter Rail,-71.219917,42.032787,,,,Mansfield,0,1,2.0
111,5986,Pleasant St @ Converse Ln,,-71.071853,42.44649,,Converse Lane,Pleasant Street,Melrose,0,1,3.0
112,5397,Main St @ Floyd St,,-71.063608,42.413477,,Floyd Street,Main Street,Everett,0,1,3.0
113,5816,200 Endicott Ave,,-70.984086,42.396329,,Waterview Avenue,Endicott Avenue,Revere,0,1,3.0
114,49829,45 Bow St,,-71.14078,42.485319,,,Bow Street,Woburn,0,1,3.0
115,70177,Beaconsfield,Beaconsfield - Green Line - (D) Riverside,-71.140903,42.335912,,,,Brookline,0,2,0.0
116,2865,Bunker Hill St @ N Mead St,,-71.066955,42.381137,,North Mead Street,Bunker Hill Street,Boston,0,1,3.0
117,70078,Downtown Crossing,Downtown Crossing - Red Line - Alewife,-71.060225,42.355518,,,,Boston,0,1,1.0
118,10835,Dedham Mall @ South Side,,-71.170494,42.253283,,,,Dedham,0,1,3.0
119,70241,Symphony,Symphony - Green Line - (E) Heath Street,-71.085056,42.342687,,,,Boston,0,2,0.0
120,5484,Broadway @ Cameron St,,-71.044062,42.420212,,Cameron Street,Broadway,Everett,0,1,3.0
121,4604,North St @ Liberty Hill Ave,,-70.906347,42.529932,,Liberty Hill Avenue,North Street,Salem,0,1,3.0
122,node-harsq-lowerramp-lobby,Harvard,Harvard - Top of ramp between main lobby and Lower Busway,,,,,,Cambridge,3,1,
123,70151,Kenmore,"Kenmore - Green Line - (C) Cleveland Circle, (D) Riverside",-71.095169,42.348949,,,,Boston,0,1,0.0
124,NEC-2237,Forest Hills,Forest Hills - Commuter Rail,-71.113551,42.301085,,,,Boston,0,1,2.0
125,GRB-0162-S,West Hingham,West Hingham - Commuter Rail - Track 1 (All Trains),-70.902708,42.235838,,,,Hingham,0,1,2.0
126,2854,Adams St @ Lowney Way,,-71.058189,42.374386,,Mount Vernon Street,Adams Street,Boston,0,1,3.0
127,2032,Mt Auburn St @ Saint Marys St,,-71.152444,42.3739,,French Terrace,Mount Auburn Street,Watertown,0,0,3.0
128,6202,Park Ave @ Appleton St,,-71.182991,42.421252,,Appleton Street,Park Avenue,Arlington,0,0,3.0
129,6252,Malden St @ Conant St,,-71.013275,42.419713,,Conant Street,Malden Street,Revere,0,1,3.0
130,6848,Eastern Ave @ Alden St,,-70.936112,42.481184,,Alden Street,Eastern Avenue,Lynn,0,1,3.0
131,78219,Washington St @ Prospect St,,-71.233334,42.345723,,Prospect Street,Washington Street,Newton,0,1,3.0
132,node-prmnl-921ramp-platform,Prudential,Prudential - Bottom of ramp for elevator,,,,,,Boston,3,1,
133,577,River St opp Leahaven Rd,,-71.082411,42.27135,,,River Street,Boston,0,1,3.0
134,9235,Main St @ E Highland Ave,,-71.061085,42.469127,,Highland Avenue East,Main Street,Melrose,0,1,3.0
135,node-spmnl-sfarepaid,Science Park/West End,Science Park/West End - Paid side of fare gates,-71.06786,42.36677,,,,Boston,3,1,
136,5486,Broadway @ Edith Ave,,-71.046423,42.417359,,Edith Avenue,Broadway,Everett,0,1,3.0
137,5345,Ferry St opp Clayton St,,-71.061542,42.422736,,Clayton Street,Ferry Street,Malden,0,1,3.0
138,1751,106 Heath St opp Bickford Ave,,-71.101936,42.326316,,Bickford Avenue,Heath Street,Boston,0,1,3.0
139,895,E Broadway @ N St,,-71.031442,42.335747,,N Street,East Broadway,Boston,0,1,3.0
140,832,Stimson St @ Washington St,,-71.158675,42.260206,,Washington Street,Stimson Street,Boston,0,1,3.0
141,1886,Weld St @ Avalon Rd,,-71.15855,42.291864,,Avalon Road,Weld Street,Boston,0,1,3.0
142,5886,Waldemar Ave @ McClellan Hwy,,-71.011238,42.39341,,McClellan Highway,Waldemar Avenue,Boston,0,1,3.0
143,7954,Washington St @ Candia St,,-71.168978,42.425213,,Candia Street,Washington Street,Arlington,0,1,3.0
144,WR-0062-B2,Wyoming Hill - Main St @ E Wyoming Ave,Wyoming Hill - Commuter Rail Outbound Shuttle - Main St @ E Wyoming Ave,-71.067239,42.451734,,East Wyoming Avenue,Main Street,Melrose,0,1,3.0
145,12852,Vine St @ Bunker Hill St,,-71.05686,42.376958,,Bunker Hill Street,Vine Street,Boston,0,1,3.0
146,1366,Huntington Ave @ Riverway,,-71.113099,42.331966,,Washington Street,Huntington Avenue,Boston,0,1,3.0
147,7583,288 Main St,,-71.032565,42.470739,,,Main Street,Saugus,0,1,3.0
148,3822,Washington St @ King Ave,,-70.96005,42.211849,,King Avenue,Washington Street,Weymouth,0,1,3.0
149,9284,Cordis St @ Vernon St,,-71.06573,42.515864,,Vernon Street,Cordis Street,Wakefield,0,1,3.0
150,5008,300 Winthrop St,,-71.118233,42.42142,,,Winthrop Street,Medford,0,1,3.0
151,4762,Paradise Rd @ Ellis Rd,,-70.917198,42.473552,,Ellis Road,Paradise Road,Swampscott,0,0,3.0
152,2153,Concord Ave opp Wheeler St,,-71.144816,42.388777,,Wheeler Street,Concord Avenue,Cambridge,0,1,3.0
153,8342,Freeport St @ Morrisey Blvd,,-71.048106,42.292588,,William T Morrissey Boulevard,Freeport Street,Boston,0,1,3.0
154,59618,Washington St @ Cottage St,,-71.200888,42.193915,,Cottage Street East,Washington Street,Norwood,0,1,3.0
155,node-105-crplatform,Oak Grove,Oak Grove - Bottom of Commuter Rail escalator,-71.070744,42.437152,,,,Malden,3,1,
156,8482,Wiswall Rd @ Shumaker Path,,-71.189216,42.294193,,Shumaker Path,Wiswall Road,Newton,0,0,3.0
157,70244,Northeastern University,Northeastern University - Green Line - Park Street & North,-71.0892,42.340222,,,,Boston,0,1,0.0
158,node-astao-revdoorstair-lobby,Assembly,Assembly - Top of stairs for Revolution Drive,-71.077406,42.392158,,,,Somerville,3,1,
159,3033,Hancock St @ Furnace Brook Pkwy,,-71.008775,42.258215,,Furnace Brook Parkway,Hancock Street,Quincy,0,1,3.0
160,door-alfcl-russell,Alewife - Russell Field,Alewife - Russell Field,-71.139575,42.39606,,,,Cambridge,2,1,
161,6369,River St @ Caton St,,-71.099618,42.264916,,Mattakeeset Street,River Street,Boston,0,1,3.0
162,36495,Hyde Park Ave @ Dellmore Rd,,-71.118265,42.290215,,Dellmore Road,Hyde Park Avenue,Boston,0,1,3.0
163,5293,Main St @ Windsor Rd,,-71.109479,42.408645,,Eliot Street,Main Street,Medford,0,0,3.0
164,70233,Dean Road,Dean Road - Green Line - (C) Cleveland Circle,-71.141753,42.337807,,,,Brookline,0,2,0.0
165,node-dwnxg-macysramp-lobby,Downtown Crossing,Downtown Crossing - Bottom of ramp between Macy's and Summer Street Concourse,,,,,,Boston,3,1,
166,7784,Lincoln St opp Graymore Rd,,-71.252341,42.40782,,Graymore Road,Lincoln Street,Waltham,0,1,3.0
167,847,Lagrange St opp Virgil Rd,,-71.161535,42.283852,,Virgil Road,La Grange Street,Boston,0,1,3.0
168,9198,Main St @ Melrose St,,-71.062015,42.463112,,Melrose Street,Main Street,Melrose,0,1,3.0
169,14609,Margin St @ N Shore Ave,,-70.919211,42.542256,,North Shore Avenue,Margin Street,Peabody,0,0,3.0
170,70168,Newton Highlands,Newton Highlands - Green Line - Park Street & North,-71.205082,42.322738,,,,Newton,0,1,0.0
171,111864,Nantasket Ave from Kenburma St to A St (FLAG),,-70.876468,42.287264,,Coburn Street,Nantasket Avenue,Hull,0,1,3.0
172,109812,Pleasant St @ Bartlett Rd,,-70.987328,42.372904,,Bartlett Road,Pleasant Street,Winthrop,0,1,3.0
173,4793,Humphrey St @ Lafayette St,,-70.870158,42.49383,,Lafayette Street,Humphrey Street,Marblehead,0,1,3.0
174,place-wrnst,Warren Street,,-71.140457,42.348343,"Commonwealth Ave and Warren St, Boston, MA",,,Boston,1,2,
175,497,Gallivan Blvd @ Milton Ave,,-71.075075,42.278267,,Milton Avenue,Gallivan Boulevard,Boston,0,1,3.0
176,5519,Broadway @ Coburn Terr,,-71.047355,42.416054,,Marie Avenue,Broadway,Everett,0,1,3.0
177,1373,Harvard St @ Stedman St,,-71.124866,42.344321,,Stedman Street,Harvard Street,Brookline,0,1,3.0
178,node-rbmnl-farepaid,Revere Beach,Revere Beach - Paid side of fare gates,-70.992533,42.407872,,,,Revere,3,1,
179,1850,Weld St @ Ravenna Rd,,-71.143325,42.293107,,Ravenna Road,Weld Street,Boston,0,1,3.0
180,15049,Captains Row @ Boatswains Way,,-71.046016,42.388457,,Boatswain's Way,Captain's Row,Chelsea,0,1,3.0
181,1574,Blue Hill Ave @ Moreland St,,-71.076673,42.322776,,Moreland Street,Blue Hill Avenue,Boston,0,1,3.0
182,15992,Main St opp Common St,,-71.100301,42.481148,,Common Street,Main Street,Stoneham,0,1,3.0
183,109829,Crest Ave @ Highland Ave,,-70.975745,42.386455,,Revere Street,Crest Avenue,Winthrop,0,1,3.0
184,7646,Washington St @ Walker St,,-71.213111,42.350969,,Walker Street,Washington Street,Newton,0,1,3.0
185,door-north-causeways,"North Station - Causeway St, Haverhill St","North Station - Causeway St, Haverhill St",-71.06049,42.365496,,,,Boston,2,2,
186,6320,High St @ Hastings Ln,,-71.123131,42.421749,,Hasting Lane,High Street,Medford,0,0,3.0
187,node-mvbcl-lewfarepaid,Maverick,Maverick - Paid side of Lewis Mall fare gates,-71.040301,42.368184,,,,Boston,3,1,
188,17288,Boston St @ Ford St,,-70.957149,42.476996,,Ford Street,Boston Street,Lynn,0,1,3.0
189,node-forhl-busfareunpaid,Forest Hills,Forest Hills - Unpaid side of fare gates,-71.114062,42.300742,,,,Boston,3,1,
190,13834,Opp 561 Main St,,-70.955457,42.187006,,Charmada Road,Main Street,Weymouth,0,1,3.0
191,49906,Pine St opp Orange St,,-71.125721,42.48467,,Orange Street,Pine Street,Woburn,0,0,3.0
192,1764,Pearl St @ William St,,-71.10505,42.362536,,Watson Street,Pearl Street,Cambridge,0,1,3.0
193,8607,Marrett Rd @ Middle St,,-71.247174,42.435635,,Middle Street,Marrett Road,Lexington,0,1,3.0
194,5577,Elm St @ Haskell Ave,,-71.033108,42.415589,,Haskell Avenue,Elm Street,Everett,0,1,3.0
195,7967,Summer St opp Oak Hill Dr,,-71.162328,42.421415,,Oak Hill Drive,Summer Street,Arlington,0,1,3.0
196,49704,Tremont St @ Beacon St,,-71.060394,42.358108,,School Street,Tremont Street,Boston,0,1,3.0
197,node-709-plaza,Wonderland,Wonderland - Revere Beach Plaza level of Bowdoin-bound platform elevator,-70.991751,42.413786,,,,Revere,3,1,
198,3573,Main St @ Playground,,-70.880118,42.232863,,Playground Road,Main Street,Hingham,0,1,3.0
199,2402,Medford St @ Bartlett St,,-71.101882,42.39424,,Bartlett Street,Medford Street,Somerville,0,1,3.0
200,3258,Sea St @ Darrow St,,-70.959414,42.265684,,Darrow Street,Sea Street,Quincy,0,0,3.0
201,78216,1600 Washington St,,-71.236076,42.343383,,,Washington Street,Newton,0,1,3.0
202,28742,Grand Union Blvd @ Foley St,,-71.08034,42.392526,,Foley Street,Grand Union Boulevard,Somerville,0,1,3.0
203,3485,Adams St @ Centre St,,-71.050876,42.260235,,Centre Street,Adams Street,Milton,0,1,3.0
204,2187,799 Concord Ave,,-71.156152,42.390896,,Griswold Street,Concord Avenue,Cambridge,0,1,3.0
205,4034,738 Granite St opp Town St,,-71.022074,42.206698,,Town Street,Granite Street,Braintree,0,1,3.0
206,6749,Holyoke St @ Thorpe Rd,,-70.980598,42.466658,,Thorpe Road,Holyoke Street,Lynn,0,0,3.0
207,3831,South St @ Southern Artery,,-70.98392,42.24345,,Southern Artery,South Street,Quincy,0,1,3.0
208,6114,Loring Ave @ Linden St,,-70.891175,42.504919,,Linden Street,Loring Avenue,Salem,0,0,3.0
209,76597,Moody St @ Pine St,,-71.236758,42.371852,,Pine Street,Moody Street,Waltham,0,1,3.0
210,4870,Salem St @ Sunbeam Ln,,-70.89883,42.483844,,,Salem Street,Swampscott,0,1,3.0
211,door-chncl-foresthills,"Chinatown - Washington St, Essex St","Chinatown - Washington St, Essex St",-71.062678,42.352457,,,,Boston,2,2,
212,1430,Felton St @ Cambridge St,,-71.11234,42.375048,,Cambridge Street,Felton Street,Cambridge,0,1,3.0
213,109901,Shirley St @ Beach Rd,,-70.974996,42.380764,,Beach Road,Shirley Street,Winthrop,0,1,3.0
214,7525,Vine St @ Talbot St,,-71.018679,42.462924,,Talbot Street,Vine Street,Saugus,0,0,3.0
215,1089,Chestnut Hill Ave @ South St,,-71.155272,42.340595,,Strathmore Road,Chestnut Hill Avenue,Boston,0,1,3.0
216,7755,High St @ Hall St,,-71.235543,42.367585,,Hall Street,High Street,Waltham,0,1,3.0
217,node-aport-bremenstairs-bridge,Airport,Airport - Top of stairs on unpaid Bremen Street side,-71.030366,42.374438,,,,Boston,3,1,
218,12648,Broadway @ Allen St,,-71.145561,42.412312,,Allen Street,Broadway,Arlington,0,1,3.0
219,4047,North St @ McDevitt Rd,,-71.030944,42.178233,,McDevitt Road,North Street,Randolph,0,1,3.0
220,70249,Brigham Circle,Brigham Circle - Green Line - (E) Heath Street,-71.104487,42.334331,,,,Boston,0,1,0.0
221,70246,Museum of Fine Arts,Museum of Fine Arts - Green Line - Park Street & North,-71.094682,42.338017,,,,Boston,0,1,0.0
222,place-FR-0394,Shirley,,-71.648004,42.545089,"Ayer Rd and Phoenix St, Shirley, MA 01464",,,Shirley,1,2,
223,7602,South St opp Brandeis Univ Entrance,,-71.25812,42.364452,,Old South Street,South Street,Waltham,0,0,3.0
224,node-wondl-oceanaveingress,Wonderland,Wonderland - Bowdoin-bound platform end of Revere Beach Plaza,-70.991872,42.413704,,,,Revere,3,1,
225,70204,Haymarket,Haymarket - Green Line - Copley & West,-71.05829,42.363021,,,,Boston,0,1,0.0
226,1189,Soldiers Field Rd @ Cambridge St,,-71.117952,42.361317,,Cambridge Street,Ramp - Western Ave To Soldiers Field Rd Eastbound,Boston,0,2,3.0
227,node-rcmnl-stairs-platform,Roxbury Crossing,Roxbury Crossing - Bottom of stairs,-71.095731,42.331167,,,,Boston,3,1,
228,568,Geneva Ave @ Blue Hill Ave,,-71.082804,42.308694,,Blue Hill Avenue,Geneva Avenue,Boston,0,1,3.0
229,29014,Sullivan Square,Sullivan Square - Lower Berth 14,-71.076089,42.383917,,,Busway,Boston,0,1,3.0
230,21174,Vassar St opp Pacific St Extension,,-71.098379,42.358309,,Massachusetts Avenue,Vassar Street,Cambridge,0,1,3.0
231,4042,North St @ Broad St,,-71.029915,42.188177,,Broad Street,North Street,Randolph,0,1,3.0
