route_id,neighborhood
57,South End
39,Downtown
39,Chinatown
39,Beacon Hill
39,Roslindale
39,Hyde Park
15,South End
15,Roxbury
15,Mattapan
15,Downtown
15,Dorchester
15,Chinatown
15,Beacon Hill
19,Roxbury
19,Dorchester
19,Mission Hill
19,Longwood
19,Jamaica Plain
19,Fenway
18,South Boston
18,Dorchester
171,South End
171,South Boston Waterfront
171,South Boston
171,Roxbury
171,East Boston
171,Dorchester
17,South Boston
17,Dorchester
16,South Boston
16,Roxbury
16,Jamaica Plain
16,Dorchester
10,South Boston
15,Mission Hill
15,Fenway
14,Roxbury
14,Roslindale
14,Mattapan
14,Jamaica Plain
14,Hyde Park
14,Dorchester
121,East Boston
120,East Boston
119,East Boston
117,West End
117,North End
117,East Boston
117,Downtown
116,East Boston
114,East Boston
112,East Boston
111,West End
111,North End
111,Downtown
111,Charlestown
11,South End
11,South Boston
11,Downtown
11,Chinatown
11,South Boston Waterfront
109,Charlestown
105,Charlestown
104,Charlestown
101,Charlestown
10,South End
10,Roxbury
10,Dorchester
10,Back Bay
9,South End
9,South Boston
9,Mission Hill
9,Longwood
9,Jamaica Plain
9,Fenway
9,Back Bay
9,Roxbury
9,Dorchester
9,Downtown
8,South End
8,South Boston
8,Dorchester
7,South Boston Waterfront
7,South Boston
7,Downtown
4,West End
4,South Boston Waterfront
4,North End
4,Downtown
1,Roxbury
1,Fenway
1,Back Bay
1,South End
