,Route,Endpoint,Date,Time
32,741,Terminal B Stop 1 - Arrivals Level to South Station,2023-10-22,00:01:00
33,741,South Station to World Trade Center,2023-10-22,00:01:00
34,741,World Trade Center to Terminal B Stop 2 - Arrivals Level,2023-10-22,00:00:00
35,741,Terminal B Stop 2 - Arrivals Level to Silver Line Way,2023-10-22,00:02:00
36,741,Silver Line Way to Terminal C - Arrivals Level,2023-10-22,00:00:00
37,741,Terminal C - Arrivals Level to Silver Line Way,2023-10-22,00:00:00
38,741,Silver Line Way to World Trade Center,2023-10-22,00:01:00
39,741,World Trade Center to Terminal E - Arrivals Level,2023-10-22,00:01:00
40,741,Terminal E - Arrivals Level to Congress St @ World Trade Center Sta,2023-10-22,00:01:00
41,741,Congress St @ World Trade Center Sta to Courthouse,2023-10-22,00:00:00
42,741,Courthouse to Silver Line Way,2023-10-22,00:01:00
43,741,Silver Line Way to World Trade Center,2023-10-22,00:01:00
44,741,World Trade Center to South Station,2023-10-22,00:00:00
45,741,South Station to Silver Line Way,2023-10-22,00:02:00
46,741,Silver Line Way to Courthouse,2023-10-22,00:00:00
47,741,Courthouse to World Trade Center,2023-10-22,00:01:00
48,741,World Trade Center to Terminal A,2023-10-22,00:00:00
49,741,Terminal A to South Station,2023-10-22,00:00:00
50,741,South Station to Terminal A,2023-10-22,00:00:00
51,741,Terminal A to Courthouse,2023-10-22,00:01:00
52,741,Courthouse to South Station,2023-10-22,00:00:00
53,741,South Station to Terminal B Stop 1 - Arrivals Level,2023-10-22,00:01:00
54,741,Terminal B Stop 1 - Arrivals Level to South Station,2023-10-22,00:01:00
55,741,South Station to World Trade Center,2023-10-22,00:01:00
56,741,World Trade Center to Terminal B Stop 2 - Arrivals Level,2023-10-22,00:00:00
57,741,Terminal B Stop 2 - Arrivals Level to Silver Line Way,2023-10-22,00:01:00
58,741,Silver Line Way to Terminal C - Arrivals Level,2023-10-22,00:00:00
59,741,Terminal C - Arrivals Level to World Trade Center,2023-10-22,00:00:00
60,741,World Trade Center to Terminal E - Arrivals Level,2023-10-22,00:02:00
61,741,Terminal E - Arrivals Level to Courthouse,2023-10-22,00:00:00
62,741,Courthouse to Congress St @ World Trade Center Sta,2023-10-22,00:01:00
63,741,Congress St @ World Trade Center Sta to South Station,2023-10-22,00:01:00
64,741,South Station to Silver Line Way,2023-10-22,00:01:00
65,741,Silver Line Way to World Trade Center,2023-10-22,00:01:00
66,741,World Trade Center to Silver Line Way,2023-10-22,00:01:00
67,741,Silver Line Way to Terminal A,2023-10-22,00:01:00
68,741,Terminal A to South Station,2023-10-22,00:00:00
69,741,South Station to Terminal A,2023-10-22,00:00:00
70,741,Terminal A to World Trade Center,2023-10-22,00:00:00
71,741,World Trade Center to Courthouse,2023-10-22,00:00:00
72,741,Courthouse to Terminal B Stop 1 - Arrivals Level,2023-10-22,00:01:00
73,741,Terminal B Stop 1 - Arrivals Level to South Station,2023-10-22,00:00:00
74,741,South Station to World Trade Center,2023-10-22,00:01:00
75,741,World Trade Center to Terminal B Stop 2 - Arrivals Level,2023-10-22,00:00:00
76,741,Terminal B Stop 2 - Arrivals Level to Silver Line Way,2023-10-22,00:02:00
77,741,Silver Line Way to Terminal C - Arrivals Level,2023-10-22,00:00:00
78,741,Terminal C - Arrivals Level to Terminal E - Arrivals Level,2023-10-22,00:02:00
79,741,Terminal E - Arrivals Level to Congress St @ World Trade Center Sta,2023-10-22,00:01:00
80,741,Congress St @ World Trade Center Sta to Silver Line Way,2023-10-22,00:04:00
81,741,Silver Line Way to World Trade Center,2023-10-22,00:01:00
82,741,World Trade Center to Terminal A,2023-10-22,00:00:00
83,741,Terminal A to South Station,2023-10-22,00:00:00
84,741,South Station to Courthouse,2023-10-22,00:01:00
85,741,Courthouse to Terminal B Stop 1 - Arrivals Level,2023-10-22,00:01:00
86,741,Terminal B Stop 1 - Arrivals Level to South Station,2023-10-22,00:01:00
87,741,South Station to Terminal B Stop 2 - Arrivals Level,2023-10-22,00:01:00
88,741,Terminal B Stop 2 - Arrivals Level to World Trade Center,2023-10-22,00:00:00
89,741,World Trade Center to Terminal C - Arrivals Level,2023-10-22,00:02:00
90,741,Terminal C - Arrivals Level to Silver Line Way,2023-10-22,00:00:00
91,741,Silver Line Way to Terminal E - Arrivals Level,2023-10-22,00:02:00
92,741,Terminal E - Arrivals Level to Congress St @ World Trade Center Sta,2023-10-22,00:01:00
93,741,Congress St @ World Trade Center Sta to Silver Line Way,2023-10-22,00:04:00
94,741,Silver Line Way to World Trade Center,2023-10-22,00:01:00
95,741,World Trade Center to South Station,2023-10-22,00:00:00
96,741,South Station to Terminal A,2023-10-22,00:00:00
97,741,Terminal A to Courthouse,2023-10-22,00:01:00
98,741,Courthouse to Terminal B Stop 1 - Arrivals Level,2023-10-22,00:01:00
99,741,Terminal B Stop 1 - Arrivals Level to South Station,2023-10-22,00:01:00
100,741,South Station to World Trade Center,2023-10-22,00:01:00
101,741,World Trade Center to Terminal B Stop 2 - Arrivals Level,2023-10-22,00:00:00
102,741,Terminal B Stop 2 - Arrivals Level to Silver Line Way,2023-10-22,00:02:00
103,741,Silver Line Way to Terminal C - Arrivals Level,2023-10-22,00:00:00
104,741,Terminal C - Arrivals Level to Terminal E - Arrivals Level,2023-10-22,00:02:00
105,741,Terminal E - Arrivals Level to Congress St @ World Trade Center Sta,2023-10-22,00:01:00
106,741,Congress St @ World Trade Center Sta to Silver Line Way,2023-10-22,00:04:00
107,741,Silver Line Way to Terminal A,2023-10-22,00:01:00
108,741,Terminal A to World Trade Center,2023-10-22,00:00:00
109,741,World Trade Center to South Station,2023-10-22,00:00:00
110,741,South Station to Terminal A,2023-10-22,00:00:00
111,741,Terminal A to Courthouse,2023-10-22,00:01:00
112,741,Courthouse to Terminal B Stop 1 - Arrivals Level,2023-10-22,00:01:00
113,741,Terminal B Stop 1 - Arrivals Level to South Station,2023-10-22,00:01:00
114,741,South Station to World Trade Center,2023-10-22,00:01:00
115,741,World Trade Center to Terminal B Stop 2 - Arrivals Level,2023-10-22,00:00:00
116,741,Terminal B Stop 2 - Arrivals Level to Silver Line Way,2023-10-22,00:02:00
117,741,Silver Line Way to Terminal C - Arrivals Level,2023-10-22,00:00:00
118,741,Terminal C - Arrivals Level to Terminal E - Arrivals Level,2023-10-22,00:02:00
119,741,Terminal E - Arrivals Level to Congress St @ World Trade Center Sta,2023-10-22,00:01:00
120,741,Congress St @ World Trade Center Sta to Silver Line Way,2023-10-22,00:04:00
121,741,Silver Line Way to Terminal A,2023-10-22,00:01:00
122,741,Terminal A to World Trade Center,2023-10-22,00:00:00
123,741,World Trade Center to South Station,2023-10-22,00:00:00
124,741,South Station to Terminal A,2023-10-22,00:00:00
125,741,Terminal A to Courthouse,2023-10-22,00:01:00
126,741,Courthouse to Terminal B Stop 1 - Arrivals Level,2023-10-22,00:01:00
127,741,Terminal B Stop 1 - Arrivals Level to South Station,2023-10-22,00:01:00
128,741,South Station to World Trade Center,2023-10-22,00:01:00
129,741,World Trade Center to Terminal B Stop 2 - Arrivals Level,2023-10-22,00:00:00
130,741,Terminal B Stop 2 - Arrivals Level to Silver Line Way,2023-10-22,00:02:00
131,741,Silver Line Way to Terminal C - Arrivals Level,2023-10-22,00:00:00
132,741,Terminal C - Arrivals Level to Terminal E - Arrivals Level,2023-10-22,00:02:00
133,741,Terminal E - Arrivals Level to Congress St @ World Trade Center Sta,2023-10-22,00:01:00
134,741,Congress St @ World Trade Center Sta to Silver Line Way,2023-10-22,00:04:00
135,741,Silver Line Way to World Trade Center,2023-10-22,00:01:00
136,741,World Trade Center to Terminal A,2023-10-22,00:00:00
137,741,Terminal A to South Station,2023-10-22,00:00:00
138,741,South Station to Terminal A,2023-10-22,00:00:00
139,741,Terminal A to Courthouse,2023-10-22,00:01:00
140,741,Courthouse to Terminal B Stop 1 - Arrivals Level,2023-10-22,00:01:00
141,741,Terminal B Stop 1 - Arrivals Level to South Station,2023-10-22,00:01:00
142,741,South Station to World Trade Center,2023-10-22,00:01:00
143,741,World Trade Center to Terminal B Stop 2 - Arrivals Level,2023-10-22,00:00:00
144,741,Terminal B Stop 2 - Arrivals Level to Silver Line Way,2023-10-22,00:02:00
145,741,Silver Line Way to Terminal C - Arrivals Level,2023-10-22,00:00:00
146,741,Terminal C - Arrivals Level to Terminal E - Arrivals Level,2023-10-22,00:02:00
147,741,Terminal E - Arrivals Level to Congress St @ World Trade Center Sta,2023-10-22,00:01:00
148,741,Congress St @ World Trade Center Sta to South Station,2023-10-22,00:03:00
149,741,South Station to Silver Line Way,2023-10-22,00:01:00
150,741,Silver Line Way to World Trade Center,2023-10-22,00:01:00
151,741,World Trade Center to Courthouse,2023-10-22,00:00:00
152,741,Courthouse to Terminal A,2023-10-22,00:01:00
153,741,Terminal A to World Trade Center,2023-10-22,00:00:00
154,741,World Trade Center to Terminal A,2023-10-22,00:00:00
155,741,Terminal A to South Station,2023-10-22,00:01:00
156,741,South Station to Silver Line Way,2023-10-22,00:01:00
157,741,Silver Line Way to Terminal B Stop 1 - Arrivals Level,2023-10-22,00:00:00
158,741,Terminal B Stop 1 - Arrivals Level to Terminal B Stop 2 - Arrivals Level,2023-10-22,00:02:00
159,741,Terminal B Stop 2 - Arrivals Level to Terminal C - Arrivals Level,2023-10-22,00:02:00
160,741,Terminal C - Arrivals Level to Congress St @ World Trade Center Sta,2023-10-22,00:01:00
161,741,Congress St @ World Trade Center Sta to Terminal E - Arrivals Level,2023-10-22,00:01:00
162,741,Terminal E - Arrivals Level to South Station,2023-10-22,00:02:00
163,741,South Station to Silver Line Way,2023-10-22,00:01:00
164,741,Silver Line Way to Terminal A,2023-10-22,00:01:00
165,741,Terminal A to World Trade Center,2023-10-22,00:00:00
166,741,World Trade Center to Courthouse,2023-10-22,00:00:00
167,741,Courthouse to Terminal A,2023-10-22,00:00:00
168,741,Terminal A to Courthouse,2023-10-22,00:01:00
169,741,Courthouse to World Trade Center,2023-10-22,00:01:00
170,741,World Trade Center to Terminal B Stop 1 - Arrivals Level,2023-10-22,00:00:00
171,741,Terminal B Stop 1 - Arrivals Level to South Station,2023-10-22,00:01:00
172,741,South Station to Silver Line Way,2023-10-22,00:01:00
173,741,Silver Line Way to Terminal B Stop 2 - Arrivals Level,2023-10-22,00:00:00
174,741,Terminal B Stop 2 - Arrivals Level to Terminal C - Arrivals Level,2023-10-22,00:02:00
175,741,Terminal C - Arrivals Level to Terminal E - Arrivals Level,2023-10-22,00:02:00
176,741,Terminal E - Arrivals Level to Congress St @ World Trade Center Sta,2023-10-22,00:04:00
177,741,Congress St @ World Trade Center Sta to South Station,2023-10-22,00:00:00
178,741,South Station to Terminal A,2023-10-22,00:02:00
179,741,Terminal A to Courthouse,2023-10-22,00:00:00
180,741,Courthouse to Terminal A,2023-10-22,00:00:00
181,741,Terminal A to Silver Line Way,2023-10-22,00:02:00
182,741,Silver Line Way to World Trade Center,2023-10-22,00:00:00
183,741,World Trade Center to Terminal B Stop 1 - Arrivals Level,2023-10-22,00:00:00
184,741,Terminal B Stop 1 - Arrivals Level to World Trade Center,2023-10-22,00:01:00
185,741,World Trade Center to Courthouse,2023-10-22,00:01:00
186,741,Courthouse to Silver Line Way,2023-10-22,00:00:00
187,741,Silver Line Way to Terminal B Stop 2 - Arrivals Level,2023-10-22,00:00:00
188,741,Terminal B Stop 2 - Arrivals Level to South Station,2023-10-22,00:02:00
189,741,South Station to Terminal C - Arrivals Level,2023-10-22,00:00:00
190,741,Terminal C - Arrivals Level to Terminal E - Arrivals Level,2023-10-22,00:02:00
191,741,Terminal E - Arrivals Level to Congress St @ World Trade Center Sta,2023-10-22,00:02:00
192,741,Congress St @ World Trade Center Sta to South Station,2023-10-22,00:02:00
193,741,South Station to Silver Line Way,2023-10-22,00:02:00
194,741,Silver Line Way to Courthouse,2023-10-22,00:00:00
195,741,Courthouse to Terminal A,2023-10-22,00:00:00
196,741,Terminal A to World Trade Center,2023-10-22,00:01:00
197,741,World Trade Center to Courthouse,2023-10-22,00:01:00
198,741,Courthouse to World Trade Center,2023-10-22,00:00:00
199,741,World Trade Center to Terminal B Stop 1 - Arrivals Level,2023-10-22,00:00:00
200,741,Terminal B Stop 1 - Arrivals Level to South Station,2023-10-22,00:02:00
201,741,South Station to Silver Line Way,2023-10-22,00:00:00
202,741,Silver Line Way to Terminal B Stop 2 - Arrivals Level,2023-10-22,00:00:00
203,741,Terminal B Stop 2 - Arrivals Level to Terminal C - Arrivals Level,2023-10-22,00:02:00
204,741,Terminal C - Arrivals Level to Terminal E - Arrivals Level,2023-10-22,00:02:00
205,741,Terminal E - Arrivals Level to Congress St @ World Trade Center Sta,2023-10-22,00:02:00
206,741,Congress St @ World Trade Center Sta to South Station,2023-10-22,00:02:00
207,741,South Station to Terminal A,2023-10-22,00:02:00
208,741,Terminal A to Silver Line Way,2023-10-22,00:00:00
209,741,Silver Line Way to Courthouse,2023-10-22,00:00:00
210,741,Courthouse to Terminal A,2023-10-22,00:00:00
211,741,Terminal A to World Trade Center,2023-10-22,00:01:00
212,741,World Trade Center to Courthouse,2023-10-22,00:01:00
213,741,Courthouse to World Trade Center,2023-10-22,00:00:00
214,741,World Trade Center to Terminal B Stop 1 - Arrivals Level,2023-10-22,00:00:00
215,741,Terminal B Stop 1 - Arrivals Level to South Station,2023-10-22,00:02:00
216,741,South Station to Silver Line Way,2023-10-22,00:00:00
217,741,Silver Line Way to Terminal B Stop 2 - Arrivals Level,2023-10-22,00:00:00
218,741,Terminal B Stop 2 - Arrivals Level to Terminal C - Arrivals Level,2023-10-22,00:02:00
219,741,Terminal C - Arrivals Level to Terminal E - Arrivals Level,2023-10-22,00:02:00
220,741,Terminal E - Arrivals Level to Congress St @ World Trade Center Sta,2023-10-22,00:02:00
221,741,Congress St @ World Trade Center Sta to South Station,2023-10-22,00:02:00
222,741,South Station to Terminal A,2023-10-22,00:02:00
223,741,Terminal A to Silver Line Way,2023-10-22,00:00:00
224,741,Silver Line Way to Courthouse,2023-10-22,00:00:00
225,741,Courthouse to Terminal A,2023-10-22,00:00:00
226,741,Terminal A to World Trade Center,2023-10-22,00:01:00
227,741,World Trade Center to Courthouse,2023-10-22,00:01:00
228,741,Courthouse to World Trade Center,2023-10-22,00:00:00
229,741,World Trade Center to Terminal B Stop 1 - Arrivals Level,2023-10-22,00:00:00
230,741,Terminal B Stop 1 - Arrivals Level to South Station,2023-10-22,00:02:00
231,741,South Station to Silver Line Way,2023-10-22,00:00:00
232,741,Silver Line Way to Terminal B Stop 2 - Arrivals Level,2023-10-22,00:00:00
233,741,Terminal B Stop 2 - Arrivals Level to Terminal C - Arrivals Level,2023-10-22,00:02:00
234,741,Terminal C - Arrivals Level to Terminal E - Arrivals Level,2023-10-22,00:02:00
235,741,Terminal E - Arrivals Level to Congress St @ World Trade Center Sta,2023-10-22,00:02:00
236,741,Congress St @ World Trade Center Sta to South Station,2023-10-22,00:02:00
237,741,South Station to Silver Line Way,2023-10-22,00:02:00
238,741,Silver Line Way to Terminal A,2023-10-22,00:00:00
239,741,Terminal A to Courthouse,2023-10-22,00:00:00
240,741,Courthouse to Terminal A,2023-10-22,00:00:00
241,741,Terminal A to World Trade Center,2023-10-22,00:01:00
242,741,World Trade Center to Courthouse,2023-10-22,00:01:00
243,741,Courthouse to World Trade Center,2023-10-22,00:00:00
244,741,World Trade Center to Terminal B Stop 1 - Arrivals Level,2023-10-22,00:00:00
245,741,Terminal B Stop 1 - Arrivals Level to South Station,2023-10-22,00:02:00
246,741,South Station to Silver Line Way,2023-10-22,00:00:00
247,741,Silver Line Way to Terminal B Stop 2 - Arrivals Level,2023-10-22,00:00:00
248,741,Terminal B Stop 2 - Arrivals Level to Terminal C - Arrivals Level,2023-10-22,00:02:00
249,741,Terminal C - Arrivals Level to Terminal E - Arrivals Level,2023-10-22,00:02:00
250,741,Terminal E - Arrivals Level to Congress St @ World Trade Center Sta,2023-10-22,00:02:00
251,741,Congress St @ World Trade Center Sta to South Station,2023-10-22,00:02:00
252,741,South Station to Terminal A,2023-10-22,00:02:00
253,741,Terminal A to Silver Line Way,2023-10-22,00:00:00
254,741,Silver Line Way to Courthouse,2023-10-22,00:00:00
255,741,Courthouse to Terminal A,2023-10-22,00:00:00
256,741,Terminal A to World Trade Center,2023-10-22,00:01:00
257,741,World Trade Center to Courthouse,2023-10-22,00:01:00
258,741,Courthouse to World Trade Center,2023-10-22,00:00:00
259,741,World Trade Center to Terminal B Stop 1 - Arrivals Level,2023-10-22,00:00:00
260,741,Terminal B Stop 1 - Arrivals Level to South Station,2023-10-22,00:02:00
261,741,South Station to Silver Line Way,2023-10-22,00:00:00
262,741,Silver Line Way to Terminal B Stop 2 - Arrivals Level,2023-10-22,00:00:00
263,741,Terminal B Stop 2 - Arrivals Level to Terminal C - Arrivals Level,2023-10-22,00:02:00
264,741,Terminal C - Arrivals Level to Terminal E - Arrivals Level,2023-10-22,00:02:00
265,741,Terminal E - Arrivals Level to Congress St @ World Trade Center Sta,2023-10-22,00:02:00
266,741,Congress St @ World Trade Center Sta to South Station,2023-10-22,00:02:00
267,741,South Station to Silver Line Way,2023-10-22,00:02:00
268,741,Silver Line Way to Terminal A,2023-10-22,00:00:00
269,741,Terminal A to Courthouse,2023-10-22,00:00:00
270,741,Courthouse to Terminal A,2023-10-22,00:00:00
271,741,Terminal A to World Trade Center,2023-10-22,00:01:00
272,741,World Trade Center to Courthouse,2023-10-22,00:01:00
273,741,Courthouse to World Trade Center,2023-10-22,00:00:00
274,741,World Trade Center to Terminal B Stop 1 - Arrivals Level,2023-10-22,00:00:00
275,741,Terminal B Stop 1 - Arrivals Level to South Station,2023-10-22,00:02:00
276,741,South Station to Silver Line Way,2023-10-22,00:00:00
277,741,Silver Line Way to Terminal B Stop 2 - Arrivals Level,2023-10-22,00:00:00
278,741,Terminal B Stop 2 - Arrivals Level to Terminal C - Arrivals Level,2023-10-22,00:02:00
279,741,Terminal C - Arrivals Level to Terminal E - Arrivals Level,2023-10-22,00:02:00
280,741,Terminal E - Arrivals Level to Congress St @ World Trade Center Sta,2023-10-22,00:02:00
281,741,Congress St @ World Trade Center Sta to South Station,2023-10-22,00:02:00
282,741,South Station to Courthouse,2023-10-22,00:02:00
283,741,Courthouse to Terminal A,2023-10-22,00:00:00
284,741,Terminal A to Silver Line Way,2023-10-22,00:00:00
285,741,Silver Line Way to Terminal A,2023-10-22,00:00:00
286,741,Terminal A to World Trade Center,2023-10-22,00:01:00
287,741,World Trade Center to Courthouse,2023-10-22,00:00:00
288,741,Courthouse to Terminal B Stop 1 - Arrivals Level,2023-10-22,00:00:00
289,741,Terminal B Stop 1 - Arrivals Level to Silver Line Way,2023-10-22,00:02:00
290,741,Silver Line Way to South Station,2023-10-22,00:00:00
291,741,South Station to Terminal B Stop 2 - Arrivals Level,2023-10-22,00:00:00
292,741,Terminal B Stop 2 - Arrivals Level to Terminal C - Arrivals Level,2023-10-22,00:02:00
293,741,Terminal C - Arrivals Level to Terminal E - Arrivals Level,2023-10-22,00:02:00
294,741,Terminal E - Arrivals Level to Congress St @ World Trade Center Sta,2023-10-22,00:02:00
295,741,Congress St @ World Trade Center Sta to South Station,2023-10-22,00:02:00
296,741,South Station to Terminal A,2023-10-22,00:02:00
297,741,Terminal A to Courthouse,2023-10-22,00:00:00
298,741,Courthouse to Silver Line Way,2023-10-22,00:00:00
299,741,Silver Line Way to Terminal A,2023-10-22,00:00:00
300,741,Terminal A to World Trade Center,2023-10-22,00:01:00
301,741,World Trade Center to Courthouse,2023-10-22,00:00:00
302,741,Courthouse to Terminal B Stop 1 - Arrivals Level,2023-10-22,00:00:00
303,741,Terminal B Stop 1 - Arrivals Level to Silver Line Way,2023-10-22,00:02:00
304,741,Silver Line Way to South Station,2023-10-22,00:00:00
305,741,South Station to Terminal B Stop 2 - Arrivals Level,2023-10-22,00:00:00
306,741,Terminal B Stop 2 - Arrivals Level to Terminal C - Arrivals Level,2023-10-22,00:02:00
307,741,Terminal C - Arrivals Level to Terminal E - Arrivals Level,2023-10-22,00:02:00
308,741,Terminal E - Arrivals Level to Congress St @ World Trade Center Sta,2023-10-22,00:02:00
309,741,Congress St @ World Trade Center Sta to South Station,2023-10-22,00:02:00
310,741,South Station to Terminal A,2023-10-22,00:02:00
311,741,Terminal A to Courthouse,2023-10-22,00:00:00
312,741,Courthouse to Silver Line Way,2023-10-22,00:00:00
313,741,Silver Line Way to Terminal A,2023-10-22,00:00:00
314,741,Terminal A to World Trade Center,2023-10-22,00:01:00
315,741,World Trade Center to Courthouse,2023-10-22,00:00:00
316,741,Courthouse to Terminal B Stop 1 - Arrivals Level,2023-10-22,00:00:00
317,741,Terminal B Stop 1 - Arrivals Level to Silver Line Way,2023-10-22,00:02:00
318,741,Silver Line Way to South Station,2023-10-22,00:00:00
319,741,South Station to Terminal B Stop 2 - Arrivals Level,2023-10-22,00:00:00
320,741,Terminal B Stop 2 - Arrivals Level to Terminal C - Arrivals Level,2023-10-22,00:02:00
321,741,Terminal C - Arrivals Level to Terminal E - Arrivals Level,2023-10-22,00:02:00
322,741,Terminal E - Arrivals Level to Congress St @ World Trade Center Sta,2023-10-22,00:02:00
323,741,Congress St @ World Trade Center Sta to South Station,2023-10-22,00:02:00
324,741,South Station to Terminal A,2023-10-22,00:02:00
325,741,Terminal A to Silver Line Way,2023-10-22,00:00:00
326,741,Silver Line Way to Terminal A,2023-10-22,00:00:00
327,741,Terminal A to Courthouse,2023-10-22,00:00:00
328,741,Courthouse to World Trade Center,2023-10-22,00:01:00
329,741,World Trade Center to Courthouse,2023-10-22,00:01:00
330,741,Courthouse to Terminal B Stop 1 - Arrivals Level,2023-10-22,00:00:00
331,741,Terminal B Stop 1 - Arrivals Level to World Trade Center,2023-10-22,00:00:00
332,741,World Trade Center to South Station,2023-10-22,00:02:00
333,741,South Station to Terminal B Stop 2 - Arrivals Level,2023-10-22,00:00:00
334,741,Terminal B Stop 2 - Arrivals Level to Silver Line Way,2023-10-22,00:00:00
335,741,Silver Line Way to Terminal C - Arrivals Level,2023-10-22,00:02:00
336,741,Terminal C - Arrivals Level to Terminal E - Arrivals Level,2023-10-22,00:02:00
337,741,Terminal E - Arrivals Level to Congress St @ World Trade Center Sta,2023-10-22,00:02:00
338,741,Congress St @ World Trade Center Sta to South Station,2023-10-22,00:02:00
339,741,South Station to Courthouse,2023-10-22,00:02:00
340,741,Courthouse to Silver Line Way,2023-10-22,00:00:00
341,741,Silver Line Way to Terminal A,2023-10-22,00:00:00
342,741,Terminal A to World Trade Center,2023-10-22,00:01:00
343,741,World Trade Center to Courthouse,2023-10-22,00:00:00
344,741,Courthouse to Terminal B Stop 1 - Arrivals Level,2023-10-22,00:00:00
345,741,Terminal B Stop 1 - Arrivals Level to Silver Line Way,2023-10-22,00:02:00
346,741,Silver Line Way to South Station,2023-10-22,00:00:00
347,741,South Station to Terminal B Stop 2 - Arrivals Level,2023-10-22,00:00:00
348,741,Terminal B Stop 2 - Arrivals Level to Terminal C - Arrivals Level,2023-10-22,00:02:00
349,741,Terminal C - Arrivals Level to Terminal E - Arrivals Level,2023-10-22,00:02:00
350,741,Terminal E - Arrivals Level to Congress St @ World Trade Center Sta,2023-10-22,00:02:00
351,741,Congress St @ World Trade Center Sta to South Station,2023-10-22,00:02:00
352,741,South Station to Terminal A,2023-10-22,00:02:00
353,741,Terminal A to Courthouse,2023-10-22,00:00:00
354,741,Courthouse to Silver Line Way,2023-10-22,00:00:00
355,741,Silver Line Way to Terminal A,2023-10-22,00:00:00
356,741,Terminal A to World Trade Center,2023-10-22,00:01:00
357,741,World Trade Center to Courthouse,2023-10-22,00:00:00
358,741,Courthouse to Terminal B Stop 1 - Arrivals Level,2023-10-22,00:00:00
359,741,Terminal B Stop 1 - Arrivals Level to Silver Line Way,2023-10-22,00:02:00
360,741,Silver Line Way to South Station,2023-10-22,00:00:00
361,741,South Station to Terminal B Stop 2 - Arrivals Level,2023-10-22,00:00:00
362,741,Terminal B Stop 2 - Arrivals Level to Terminal C - Arrivals Level,2023-10-22,00:02:00
363,741,Terminal C - Arrivals Level to Terminal E - Arrivals Level,2023-10-22,00:02:00
364,741,Terminal E - Arrivals Level to Congress St @ World Trade Center Sta,2023-10-22,00:02:00
365,741,Congress St @ World Trade Center Sta to South Station,2023-10-22,00:02:00
366,741,South Station to Terminal A,2023-10-22,00:02:00
367,741,Terminal A to Silver Line Way,2023-10-22,00:00:00
368,741,Silver Line Way to Courthouse,2023-10-22,00:00:00
369,741,Courthouse to Terminal A,2023-10-22,00:00:00
370,741,Terminal A to World Trade Center,2023-10-22,00:01:00
371,741,World Trade Center to Courthouse,2023-10-22,00:01:00
372,741,Courthouse to World Trade Center,2023-10-22,00:00:00
373,741,World Trade Center to Terminal B Stop 1 - Arrivals Level,2023-10-22,00:00:00
374,741,Terminal B Stop 1 - Arrivals Level to South Station,2023-10-22,00:02:00
375,741,South Station to Silver Line Way,2023-10-22,00:00:00
376,741,Silver Line Way to Terminal B Stop 2 - Arrivals Level,2023-10-22,00:00:00
377,741,Terminal B Stop 2 - Arrivals Level to Terminal C - Arrivals Level,2023-10-22,00:02:00
378,741,Terminal C - Arrivals Level to Terminal E - Arrivals Level,2023-10-22,00:02:00
379,741,Terminal E - Arrivals Level to Congress St @ World Trade Center Sta,2023-10-22,00:02:00
380,741,Congress St @ World Trade Center Sta to South Station,2023-10-22,00:02:00
381,741,South Station to Courthouse,2023-10-22,00:02:00
