route_id,stop_id,neighborhood
36,"[120, 602, 636, 774, 779, 781, 787, 804, 810, 812, 818, 820, 875, 1128, 1317, 1325, 1332, 1346, 1354, 1939, 2922, 10642, 10820, 11131, 11780, 17391, 31365, 65741, 67120, 91391]","['West Roxbury', 'Roslindale', 'Roslindale', 'West Roxbury', 'West Roxbury', 'West Roxbury', 'Roslindale', 'West Roxbury', 'West Roxbury', 'West Roxbury', 'West Roxbury', 'West Roxbury', 'Jamaica Plain', 'Jamaica Plain', 'Mission Hill', 'Roxbury', 'Roxbury', 'Roxbury', 'Roxbury', 'Jamaica Plain', 'Roxbury', 'Jamaica Plain', 'West Roxbury', 'Jamaica Plain', 'Longwood', 'Roxbury', 'Jamaica Plain', 'Mission Hill', 'West Roxbury', 'Longwood']"
37,"[602, 636, 781, 787, 804, 810, 853, 1128, 1317, 1939, 10642, 11131, 11780, 11839, 31365, 65741, 91391]","['Roslindale', 'Roslindale', 'West Roxbury', 'Roslindale', 'West Roxbury', 'West Roxbury', 'West Roxbury', 'Jamaica Plain', 'Mission Hill', 'Jamaica Plain', 'Jamaica Plain', 'Jamaica Plain', 'Longwood', 'West Roxbury', 'Jamaica Plain', 'Mission Hill', 'Longwood']"
38,"[804, 1128, 1160, 1346, 1354, 2003, 5223, 5227, 5245, 5249, 5256, 5263, 10642, 11780, 11939, 15216, 17391, 31365, 65741, 91391, 99991]","['West Roxbury', 'Jamaica Plain', 'Jamaica Plain', 'Roxbury', 'Roxbury', 'Jamaica Plain', 'Roslindale', 'Jamaica Plain', 'Jamaica Plain', 'West Roxbury', 'West Roxbury', 'West Roxbury', 'Jamaica Plain', 'Longwood', 'Jamaica Plain', 'Roslindale', 'Roxbury', 'Jamaica Plain', 'Mission Hill', 'Longwood', 'Jamaica Plain']"
39,"[175, 1128, 1160, 1317, 1363, 1939, 10642, 11131, 11388, 11389, 11780, 23391, 31317, 31365, 41391, 65741, 81317, 91391]","['Back Bay', 'Jamaica Plain', 'Jamaica Plain', 'Mission Hill', 'Mission Hill', 'Jamaica Plain', 'Jamaica Plain', 'Jamaica Plain', 'Back Bay', 'Back Bay', 'Longwood', 'South End', 'Mission Hill', 'Jamaica Plain', 'Fenway', 'Mission Hill', 'Fenway', 'Longwood']"
40,"[604, 609, 625, 628, 633, 636, 1618, 2796, 6022, 10642, 11613, 11618, 36466]","['Roslindale', 'West Roxbury', 'Hyde Park', 'Hyde Park', 'Roslindale', 'Roslindale', 'West Roxbury', 'Roslindale', 'Roslindale', 'Jamaica Plain', 'West Roxbury', 'West Roxbury', 'Hyde Park']"
41,"[121, 122, 123, 136, 1160, 1486, 1497, 1939, 2910, 2933, 2935, 11131, 11531, 11939, 64000]","['Dorchester', 'Dorchester', 'Dorchester', 'Dorchester', 'Jamaica Plain', 'Roxbury', 'Roxbury', 'Jamaica Plain', 'Dorchester', 'Dorchester', 'Dorchester', 'Jamaica Plain', 'Jamaica Plain', 'Jamaica Plain', 'Roxbury']"
42,"[875, 1165, 1187, 5236, 41187, 64000]","['Jamaica Plain', 'Roxbury', 'Jamaica Plain', 'Jamaica Plain', 'Jamaica Plain', 'Roxbury']"
426,[117],['Downtown']
428,[117],['Downtown']
43,"[1235, 1241, 8281, 10000, 17863]","['South End', 'Downtown', 'Downtown', 'Beacon Hill', 'Roxbury']"
44,"[396, 1188, 1325, 1332, 1346, 1354, 10413, 11257, 11531, 17861, 17863, 21148, 40001, 64000]","['Roxbury', 'Roxbury', 'Roxbury', 'Roxbury', 'Roxbury', 'Roxbury', 'Roxbury', 'Roxbury', 'Jamaica Plain', 'Fenway', 'Roxbury', 'Roxbury', 'Roxbury', 'Roxbury']"
