stop_id,latitude,longitude,zip_code
4761,42.423921,-70.984702,02151
4771,42.483825,-70.900298,01907
4777,42.476191,-70.892579,01907
4807,42.507618,-70.845368,01945
4825,42.474775,-70.89366,01907
4865,42.476289,-70.892518,01907
4872,42.483861,-70.900521,01907
4886,42.467404,-70.924804,01902
4901,42.473977,-70.89429,01907
4928,42.523423,-70.923617,01960
4935,42.527273,-70.927319,01960
5002,42.418553,-71.107833,02155
5005,42.421297,-71.117556,02155
5015,42.396803,-71.122171,02144
5031,42.417908,-71.110125,02155
5034,42.412063,-71.110828,02155
5040,42.41198,-71.110725,02155
5045,42.39621,-71.041468,02150
5072,42.426729,-71.074659,02148
5080,42.428996,-71.088046,02148
5089,42.33556,-71.072264,02118
5095,42.344189,-71.065726,02118
5098,42.343739,-71.066256,02118
5104,42.396646,-71.121879,02144
5215,42.409434,-71.084091,02155
5223,42.294567,-71.135578,02131
5227,42.300704,-71.127124,02130
5232,42.298561,-71.102226,02130
5236,42.309638,-71.104245,02130
5245,42.300839,-71.127376,02130
5249,42.293913,-71.136665,02132
5256,42.287538,-71.14698,02132
5263,42.278855,-71.148157,02132
5264,42.423833,-71.089799,02155
5271,42.402581,-71.076089,02155
5282,42.422491,-71.092564,02155
5291,42.411884,-71.110644,02155
5298,42.402073,-71.106406,02155
5303,42.395076,-71.097724,02145
5306,42.397463,-71.09993,02155
5309,42.402219,-71.106442,02155
5316,42.411952,-71.110529,02155
5325,42.422453,-71.092252,02155
5327,42.426507,-71.073919,02148
5333,42.42326,-71.090929,02155
5342,42.426166,-71.067354,02148
5347,42.421724,-71.058851,02148
5354,42.415073,-71.048403,02149
5361,42.421684,-71.058585,02148
5381,42.427576,-71.050902,02148
5394,42.418708,-71.065427,02148
5404,42.403728,-71.061171,02149
5405,42.404144,-71.061262,02149
5414,42.418631,-71.065335,02148
5426,42.428147,-71.051517,02148
5436,42.433625,-71.046151,02148
5449,42.419938,-71.066126,02148
5450,42.381369,-71.027724,02128
5451,42.418786,-71.065523,02148
5457,42.427665,-71.064714,02148
5466,42.433668,-71.046006,02148
5472,42.442108,-71.048962,02176
5481,42.424878,-71.042284,02148
5488,42.41537,-71.048144,02149
5496,42.406827,-71.055845,02149
5524,42.424677,-71.04223,02148
5537,42.410245,-71.013294,02151
5547,42.415684,-71.033138,02149
5554,42.412881,-71.044764,02149
5560,42.403867,-71.058531,02149
5565,42.403864,-71.058383,02149
5569,42.41173,-71.04559,02149
5577,42.415589,-71.033108,02149
5585,42.410236,-71.013618,02151
5586,42.410663,-71.012304,02151
5592,42.406258,-71.029563,02150
5595,42.404788,-71.035371,02150
5597,42.403055,-71.036281,02150
5605,42.392841,-71.034136,02150
5607,42.391656,-71.038396,02150
5611,42.388714,-71.042267,02150
5615,42.392517,-71.03413,02150
5620,42.398055,-71.030839,02150
5626,42.40468,-71.035224,02150
5629,42.406284,-71.029419,02150
5666,42.380368,-71.023287,02128
5695,42.405955,-71.05641,02149
5713,42.410793,-71.01197,02151
5714,42.408443,-71.013505,02151
5720,42.399754,-71.022329,02150
5736,42.37409,-71.039143,02128
5740,42.369139,-71.039615,02128
5743,42.375709,-71.039031,02128
5755,42.399746,-71.022146,02150
5761,42.408222,-71.013389,02151
5763,42.411045,-71.011627,02151
5790,42.409605,-71.010465,02151
5810,42.397746,-70.992533,02151
5819,42.398027,-70.992783,02151
5832,42.416671,-71.016946,02151
5854,42.375152,-71.038382,02128
5862,42.366524,-71.030532,02128
5867,42.375083,-71.038265,02128
5879,42.386982,-71.00499,02128
5880,42.38723,-71.004229,02128
5907,42.381133,-71.028218,02128
5916,42.455459,-71.051823,02176
5921,42.457933,-71.04664,02176
5980,42.452206,-71.070158,02176
5991,42.436927,-71.071292,02148
6022,42.286623,-71.128949,02131
6103,42.519482,-70.894455,01970
6126,42.485764,-70.901798,01970
6135,42.47472,-70.928526,01902
6146,42.474534,-70.928635,01902
6157,42.485719,-70.901666,01970
6181,42.519619,-70.89472,01970
6267,42.42777,-71.011751,02151
6310,42.431898,-71.131364,02155
6322,42.421111,-71.117561,02155
6357,42.256236,-71.12058,02136
6366,42.267383,-71.094186,02126
6368,42.267439,-71.094318,02126
6390,42.256279,-71.120718,02136
6411,42.242811,-71.126148,02136
6419,42.253034,-71.118706,02136
6433,42.280568,-71.120531,02131
6459,42.279886,-71.118724,02131
6460,42.280681,-71.120534,02131
6471,42.266018,-71.120924,02136
6474,42.272827,-71.119979,02136
6478,42.279969,-71.118822,02131
6496,42.279888,-71.119028,02131
6500,42.273226,-71.120218,02136
6504,42.265743,-71.121186,02136
6509,42.256719,-71.124011,02136
6522,42.255639,-71.143083,02136
6538,42.35176,-71.056003,02111
6548,42.356837,-71.057414,02108
6550,42.352188,-71.057992,02111
6551,42.355286,-71.056411,02110
6555,42.35068,-71.059655,02111
6564,42.352253,-71.054774,02210
6565,42.34997,-71.063413,02111
6611,42.434286,-70.936127,01908
6613,42.427895,-70.935039,01908
6646,42.433819,-70.935622,01908
6700,42.468099,-70.985916,01905
6701,42.467946,-70.987559,01905
6719,42.487475,-71.014762,01906
6746,42.468169,-70.986071,01905
6747,42.465649,-70.983633,01905
6767,42.469833,-70.957108,01904
6842,42.474773,-70.928663,01902
6862,42.488031,-70.959489,01904
6902,42.519675,-71.21163,01803
6953,42.449225,-71.134346,01890
7094,42.366635,-71.017167,02128
7096,42.374693,-71.029333,02128
7097,42.374518,-71.029532,02128
7107,42.572666,-70.893092,01915
7131,42.549149,-70.878211,01915
7190,42.572655,-70.892949,01915
7214,42.483939,-70.941938,01902
7223,42.475177,-70.92929,01902
7245,42.469963,-70.957094,01904
7252,42.477064,-70.94896,01902
7260,42.484804,-70.959703,01904
7263,42.487768,-70.959411,01904
7269,42.540734,-70.945123,01960
7270,42.552271,-70.938449,01923
7290,42.487,-70.960247,01904
7292,42.48461,-70.959841,01904
7300,42.47718,-70.949077,01904
7319,42.47729,-70.949069,01904
7340,42.510149,-70.989516,01904
7341,42.510183,-70.989783,01940
7376,42.457778,-70.973239,01905
7394,42.450342,-70.994146,01906
7401,42.448624,-71.009514,01906
7412,42.432182,-71.025284,02148
7417,42.432858,-71.024087,02148
7428,42.448274,-71.009776,01906
7429,42.448535,-71.009114,01906
7435,42.450155,-70.994255,01906
7452,42.457719,-70.972838,01905
7474,42.464712,-71.009667,01906
7486,42.472172,-71.035003,01906
7506,42.46467,-71.012313,01906
7529,42.459904,-71.025815,01906
7539,42.436415,-71.037855,02148
7542,42.437407,-71.035521,02148
7566,42.448724,-71.010965,01906
7582,42.471996,-71.035076,01906
7600,42.361266,-71.261187,02453
7623,42.347172,-71.230344,02465
7651,42.349243,-71.227825,02465
7724,42.383613,-71.248956,02451
7828,42.345698,-71.257536,02466
7838,42.357715,-71.23961,02466
7878,42.448146,-71.228563,02420
7883,42.491701,-71.279122,01730
7898,42.476175,-71.251528,02421
7922,42.424903,-71.184975,02476
7961,42.43183,-71.17617,02474
8146,42.309356,-71.220632,02464
8151,42.316188,-71.213877,02464
8155,42.322203,-71.206537,02461
8166,42.351007,-71.207027,02460
8178,42.365436,-71.185502,02472
8203,42.321916,-71.206479,02461
8208,42.316391,-71.213905,02461
8213,42.309507,-71.220609,02464
8235,42.505072,-71.195917,01803
8244,42.479837,-71.185434,01801
8248,42.467764,-71.178436,01801
8254,42.460332,-71.165459,01801
8269,42.434419,-71.155548,02474
8281,42.349606,-71.065439,02116
8297,42.366644,-71.186543,02472
8301,42.436141,-71.101815,02155
8302,42.436082,-71.102168,02155
8303,42.429834,-71.103828,02155
8309,42.362243,-71.056806,02108
8311,42.424274,-71.089893,02155
8315,42.428286,-71.102573,02155
8326,42.297185,-71.056697,02122
8331,42.238283,-71.13563,02136
8336,42.436449,-71.033202,02148
8341,42.296877,-71.049066,02122
8394,42.283723,-71.169493,02132
8436,42.428863,-71.206655,02420
8451,42.476346,-71.251498,02420
8466,42.491566,-71.279005,01730
8471,42.505591,-71.273305,01730
8476,42.292343,-71.183913,02459
8486,42.298252,-71.185078,02459
8495,42.312107,-71.196478,02459
8504,42.329848,-71.194786,02459
8511,42.34502,-71.18996,02458
8522,42.344935,-71.19017,02458
8528,42.32989,-71.19488,02459
8537,42.312077,-71.196618,02459
8545,42.298139,-71.185086,02459
8554,42.292321,-71.183769,02459
8608,42.440051,-71.250889,02421
8629,42.439837,-71.250908,02421
8647,42.42932,-71.207156,02421
8678,42.374546,-71.210485,02453
8687,42.283684,-71.055696,02122
8692,42.431655,-71.130854,02155
8809,42.297104,-71.056561,02122
8814,42.281011,-71.047954,02124
8815,42.365985,-71.185281,02472
8825,42.374606,-71.210156,02453
8852,42.521421,-71.158783,01887
8949,42.255436,-71.143062,02136
9021,42.434125,-71.039413,02148
9025,42.433605,-71.046025,02148
9038,42.411411,-71.079279,02155
9042,42.409581,-71.084645,02155
9049,42.411446,-71.079138,02155
9060,42.433544,-71.0459,02148
9063,42.434134,-71.038861,02148
9071,42.468798,-71.074237,02176
9077,42.460717,-71.061884,02176
9085,42.459017,-71.047955,02176
9091,42.455539,-71.051934,02176
9100,42.453171,-71.066339,02176
9109,42.449223,-71.134098,01890
9125,42.479132,-71.152051,01801
9127,42.481204,-71.150841,01801
9145,42.431377,-71.130914,02155
9147,42.42737,-71.12592,02155
9161,42.4098,-71.085081,02155
9162,42.409998,-71.085185,02155
9176,42.426933,-71.124967,02155
9179,42.502413,-71.06981,01880
9188,42.481388,-71.065557,01880
9196,42.465831,-71.061664,02176
9199,42.460637,-71.062318,02176
9203,42.453221,-71.066468,02176
9226,42.453018,-71.066447,02176
9230,42.460534,-71.062229,02176
9233,42.466597,-71.061381,02176
9242,42.482118,-71.065858,01880
9251,42.502471,-71.069633,01880
9326,42.436901,-71.071145,02148
9328,42.436807,-71.070338,02148
9434,42.345304,-71.104558,02215
9441,42.343746,-71.102093,02215
9522,42.372747,-71.263706,02453
9525,42.382322,-71.261895,02451
9526,42.38164,-71.262237,02451
9780,42.350544,-71.166438,02135
10000,42.355692,-71.062911,02108
10006,42.335814,-71.070135,02118
10008,42.339915,-71.064356,02118
10011,42.340162,-71.064227,02118
10016,42.499312,-71.162566,01801
10413,42.314898,-71.097377,02119
10424,42.278467,-71.116716,02131
10590,42.336621,-71.076956,02118
10612,42.26792,-71.149996,02132
10618,42.256411,-71.163235,02026
10642,42.29985,-71.114261,02130
10820,42.275343,-71.171831,02132
10833,42.258725,-71.16853,02026
11131,42.318993,-71.111932,02130
11148,42.331221,-71.090588,02120
11241,42.330107,-71.062519,02125
11257,42.331197,-71.092692,02119
11323,42.330801,-71.089207,02119
11366,42.332409,-71.116433,02445
11384,42.347346,-71.075956,02116
11388,42.345344,-71.082045,02115
11389,42.345355,-71.081535,02116
11391,42.347559,-71.087141,02115
11408,42.372801,-71.094184,02141
11531,42.323074,-71.099546,02130
11545,42.325809,-71.140476,02445
11599,42.352561,-71.046914,02210
11613,42.267432,-71.149989,02132
11618,42.25564,-71.143709,02136
11712,42.284143,-71.091674,02126
11735,42.290104,-71.082689,02124
11771,42.36023,-71.094815,02139
11780,42.337969,-71.102457,02115
11802,42.338473,-71.102334,02115
11803,42.338207,-71.105846,02115
11837,42.302638,-71.152249,02467
11839,42.300091,-71.169801,02132
11891,42.357495,-71.056251,02109
11939,42.309651,-71.115764,02130
12231,42.363498,-71.087704,02142
12301,42.388229,-71.119545,02140
12352,42.405298,-71.164065,02478
12439,42.37378,-71.097963,02139
12451,42.373622,-71.097843,02139
12614,42.377759,-71.120538,02138
12636,42.406461,-71.132577,02144
12644,42.413862,-71.149008,02474
12829,42.371907,-71.060949,02129
12836,42.372149,-71.060233,02129
13142,42.297056,-71.01647,02171
13245,42.262116,-70.986311,02169
13321,42.316392,-71.083219,02121
13400,42.250367,-71.038385,02169
13406,42.244425,-71.010311,02169
13618,42.24757,-71.173924,02026
13808,42.218858,-70.967288,02188
13814,42.216095,-70.963522,02188
13820,42.201881,-70.946697,02188
13829,42.175628,-70.952619,02190
13839,42.201902,-70.946504,02188
13844,42.198592,-70.924618,02189
14211,42.270172,-71.07316,02186
14460,42.511791,-70.908936,01970
14717,42.409782,-71.002099,02151
14748,42.461856,-70.945945,01901
15047,42.391747,-71.047492,02150
15058,42.453002,-71.089342,02180
15095,42.345582,-71.064848,02118
15100,42.308101,-71.064371,02122
15216,42.287758,-71.146008,02132
15431,42.425461,-71.070337,02148
15795,42.413385,-70.99205,02151
15808,42.399383,-70.998214,02151
15975,42.452833,-71.071903,02176
15986,42.47828,-71.100179,02180
15989,42.494975,-71.103846,02180
15992,42.481148,-71.100301,02180
16305,42.421556,-71.13485,02155
16316,42.421294,-71.133765,02155
16434,42.278578,-71.11613,02136
16535,42.354243,-71.058557,02110
16538,42.354271,-71.059508,02111
16653,42.462057,-70.947263,01901
17091,42.364612,-71.020862,02128
17093,42.361657,-71.017833,02128
17094,42.366494,-71.017289,02128
17095,42.369344,-71.020238,02128
17096,42.348769,-71.042336,02210
17102,42.584611,-70.884687,01915
17170,42.549168,-70.878059,01915
17370,42.476049,-70.946021,01902
17391,42.306637,-71.087686,02121
17411,42.309682,-71.092111,02119
17861,42.336572,-71.089616,02115
17862,42.336489,-71.089085,02120
17863,42.33639,-71.08905,02120
18239,42.493884,-71.194413,01803
18351,42.566793,-70.878907,01915
18511,42.267508,-71.091726,02126
18636,42.446782,-71.226073,02420
18928,42.396874,-71.257249,02451
18974,42.242369,-71.147075,02026
18975,42.2425,-71.146712,02026
19031,42.355938,-71.185299,02458
19661,42.321841,-71.177708,02467
19821,42.322323,-71.167627,02467
20761,42.374217,-71.11897,02138
21148,42.331345,-71.093318,02120
21599,42.35257,-71.047578,02210
21772,42.354929,-71.10512,02139
21773,42.360559,-71.093953,02142
21917,42.33512,-71.149405,02445
22173,42.353995,-71.104785,02139
22549,42.375302,-71.119237,02138
22671,42.401638,-71.137324,02474
22751,42.401469,-71.136788,02474
23151,42.388034,-71.119253,02140
23391,42.347441,-71.074592,02116
23406,42.244334,-71.010231,02169
24481,42.369191,-71.100863,02139
24490,42.369251,-71.100745,02139
24791,42.398411,-71.146375,02140
25618,42.196239,-71.199615,02062
25989,42.494932,-71.101946,02180
26137,42.471201,-70.929601,01902
26500,42.278388,-71.116358,02136
26618,42.193899,-71.20104,02062
27092,42.3621,-71.01882,02128
28281,42.37226,-71.061979,02129
28745,42.394225,-71.080798,02145
28746,42.394706,-71.081102,02145
29001,42.384581,-71.076463,02129
29002,42.384386,-71.076502,02129
29003,42.384266,-71.076511,02129
29004,42.384142,-71.076513,02129
29005,42.384032,-71.076519,02129
29006,42.383909,-71.076521,02129
29007,42.384358,-71.076312,02129
29008,42.384167,-71.076315,02129
29009,42.384035,-71.076317,02129
29010,42.38392,-71.076318,02129
29011,42.384351,-71.076086,02129
29012,42.384163,-71.076087,02129
29051,42.327382,-71.061681,02125
29253,42.521793,-71.107921,01867
30009,42.328065,-71.068054,02119
30249,42.34508,-71.031986,02210
30250,42.344649,-71.030268,02210
30294,42.339299,-71.057007,02127
31255,42.3446,-71.034476,02210
31257,42.345192,-71.031996,02210
31317,42.335831,-71.099868,02120
31365,42.326625,-71.111437,02130
31391,42.341443,-71.086788,02115
32000,42.252035,-71.00588,02169
32001,42.251696,-71.004973,02169
32002,42.251772,-71.005099,02169
32003,42.251847,-71.005168,02169
32004,42.251908,-71.0052,02169
32005,42.251975,-71.005231,02169
32549,42.372535,-71.121784,02138
32840,42.38318,-71.071764,02129
32912,42.250785,-70.998193,02169
34579,42.363061,-71.088174,02142
35201,42.328495,-71.052689,02127
36466,42.254919,-71.124162,02136
