neighborhood,stop_id,route_id
Hyde Park,"[625, 625, 625, 628, 628, 628, 2789, 2812, 2819, 6357, 6390, 6411, 6419, 6471, 6471, 6474, 6474, 6500, 6500, 6504, 6504, 6509, 6509, 8331, 8949, 16434, 16434, 26500, 36466, 36466, 36466, 36466, 42819, 42820]","['34', '34E', '40', '34', '34E', '40', '50', '50', '32', '33', '24', '24', '24', '32', '33', '32', '33', '32', '33', '32', '33', '32', '33', '33', '33', '30', '24', '14', '32', '40', '192', '50', '32', '32']"
Jamaica Plain,"[875, 875, 875, 875, 875, 875, 875, 875, 1128, 1128, 1128, 1128, 1128, 1128, 1128, 1128, 1160, 1160, 1160, 1160, 1187, 1939, 1939, 1939, 1939, 1939, 1939, 1939, 1939, 1939, 2003, 2003, 5227, 5236, 5245, 5245, 10642, 10642, 10642, 10642, 10642, 10642, 10642, 10642, 10642, 10642, 10642, 10642, 10642, 10642, 10642, 11131, 11131, 11131, 11131, 11131, 11131, 11131, 11531, 11531, 11531, 11531, 11531, 11939, 11939, 31365, 31365, 31365, 31365, 31365, 31365, 31365, 31365, 31365, 41187, 99991]","['16', '21', '31', '32', '42', '33', '34', '36', '39', '192', '21', '32', '34', '36', '37', '38', '39', '41', '35', '38', '42', '39', '41', '192', '21', '32', '34', '35', '36', '37', '35', '38', '38', '42', '35', '38', '30', '34', '34E', '35', '36', '39', '40', '16', '192', '21', '32', '37', '38', '50', '51', '39', '41', '21', '32', '34', '36', '37', '22', '41', '44', '14', '29', '41', '38', '39', '192', '21', '32', '34', '35', '36', '37', '38', '42', '38']"
Longwood,"[1778, 1804, 1804, 1804, 1804, 1804, 1804, 1804, 1805, 1805, 11780, 11780, 11780, 11780, 11780, 11780, 11780, 11780, 11780, 11780, 11780, 11780, 11780, 11802, 11802, 11803, 11803, 71391, 71391, 91391, 91391, 91391, 91391, 91391, 91391, 91391, 91391, 91391]","['CT2', '08', '47', '60', '09', '19', '22', '65', 'CT2', 'CT3', '09', '19', '21', '22', '28', '32', '34', '35', '36', '37', '38', '39', '57', '09', 'CT3', 'CT2', 'CT3', '192', 'CT2', '39', '21', '32', '34', '35', '36', '37', '38', 'CT2']"
Mattapan,"[185, 185, 185, 185, 185, 507, 507, 526, 571, 571, 571, 571, 574, 574, 588, 588, 1714, 1714, 1714, 1728, 1728, 1728, 5232, 5232, 6366, 6368, 11712, 11712, 11712, 18511, 18511, 18511]","['191', '24', '30', '245', '33', '21', '26', '21', '24', '240', '191', '217', '24', '191', '191', '24', '28', '31', '29', '28', '31', '29', '21', '31', '24', '24', '28', '31', '29', '28', '31', '29']"
Mission Hill,"[1317, 1317, 1317, 1317, 1317, 1317, 1317, 1317, 1362, 1363, 1363, 1363, 1521, 1521, 1761, 1779, 1779, 1779, 1779, 1780, 1784, 1784, 1784, 1784, 1784, 1784, 1784, 31317, 31317, 65741, 65741, 65741, 65741, 65741, 65741, 65741, 65741, 65741]","['39', '66', '192', '21', '32', '34', '36', '37', '66', '39', '192', '35', '60', '65', '14', '08', '47', '19', '57', 'CT2', '08', '19', '22', '28', '57', 'CT2', 'CT3', '39', 'CT2', '39', '192', '21', '32', '34', '35', '36', '37', '38']"
North End,[2832],['111']
Roslindale,"[602, 602, 602, 602, 604, 604, 604, 633, 633, 633, 636, 636, 636, 636, 636, 636, 636, 636, 636, 636, 787, 787, 787, 787, 795, 797, 797, 2796, 2796, 2805, 5223, 6022, 6022, 6022, 6022, 6022, 6433, 6433, 6433, 6459, 6459, 6460, 6478, 6478, 6496, 6496, 10424, 15216, 96459, 96459]","['35', '36', '37', '51', '34', '34E', '40', '34', '34E', '40', '30', '34', '34E', '35', '36', '40', '192', '37', '50', '51', '35', '36', '24', '37', '24', '14', '24', '40', '50', '50', '38', '30', '34', '34E', '40', '50', '30', '14', '24', '30', '24', '14', '32', '33', '32', '33', '14', '38', '30', '24']"
Roxbury,"[2, 7, 7, 8, 55, 55, 55, 62, 64, 64, 64, 64, 64, 64, 64, 128, 188, 386, 386, 386, 386, 390, 390, 390, 390, 390, 395, 395, 395, 396, 396, 396, 396, 407, 407, 407, 407, 407, 407, 407, 412, 412, 412, 412, 412, 412, 412, 415, 415, 415, 415, 546, 546, 1165, 1188, 1188, 1188, 1222, 1222, 1258, 1258, 1259, 1259, 1259, 1323, 1325, 1325, 1325, 1325, 1332, 1332, 1332, 1332, 1346, 1346, 1346, 1346, 1346, 1354, 1354, 1354, 1354, 1354, 1357, 1486, 1486, 1497, 1497, 1565, 1565, 1565, 1565, 1576, 1577, 1583, 1586, 1587, 1741, 1741, 2922, 2922, 2922, 2922, 10413, 10413, 10413, 11148, 11257, 11257, 11257, 11257, 11257, 11323, 13321, 13321, 17391, 17391, 17391, 17391, 17391, 17391, 17411, 17411, 17862, 17862, 17862, 17862, 17862, 17862, 17863, 17863, 17863, 17863, 17863, 17863, 17863, 17863, 17863, 21148, 21148, 21148, 21148, 21148, 21148, 21148, 21148, 30009, 40001, 40001, 40001, 40001, 40001, 40001, 64000, 64000, 64000, 64000, 64000, 64000, 64000, 64000, 64000, 64000, 64000, 64002, 77777]","['01', '19', 'CT3', '10', 'SL4', 'SL5', '191', '01', '01', '08', '171', '47', 'SL4', 'SL5', '19', 'CT3', '01', '23', '28', '14', '19', '23', '28', '14', '19', '66', '10', '19', '66', '23', '28', '44', '19', '23', '28', '10', '14', '19', '22', '66', '23', '28', '10', '14', '19', '22', '66', '28', '45', '14', '22', '21', '31', '42', '22', '44', '29', '22', '29', '22', '29', '15', '23', '28', '66', '44', '32', '34', '36', '44', '32', '34', '36', '44', '32', '34', '36', '38', '44', '32', '34', '36', '38', '66', '15', '41', '15', '41', '45', '10', '16', '66', '45', '45', '45', '45', '16', '22', '29', '16', '32', '34', '36', '22', '44', '29', '22', '15', '23', '28', '44', '45', '19', '10', '23', '22', '29', '32', '34', '36', '38', '22', '29', '22', '23', '28', '19', '29', 'CT3', '08', '15', '43', '44', '45', '47', '22', 'CT2', 'CT3', '15', '23', '28', '44', '45', '19', '22', '66', 'CT3', '23', '28', '44', '10', '19', '66', '15', '191', '23', '28', '41', '42', '44', '45', '66', '14', '19', '19', 'CT3']"
South Boston,"[13, 13, 13, 13, 13, 13, 13, 20, 20, 21, 25, 25, 25, 41, 41, 45, 45, 150, 150, 150, 151, 151, 258, 268, 275, 286, 879, 886, 886, 30294, 35201]","['10', '16', '17', '171', '09', '18', 'CT3', '10', '16', '09', '09', '10', '16', '09', '10', '09', '10', '09', '11', '47', '09', '11', '11', '11', '11', '11', '07', '07', '09', '11', '16']"
South Boston Waterfront,"[33, 33, 33, 33, 33, 214, 889, 890, 11599, 17096, 17096, 21599, 30249, 30250, 31255, 31257, 74612, 74612, 74612, 74612, 74613, 74613, 74613, 74613, 74614, 74614, 74614, 74614, 74615, 74615, 74615, 74615, 74616, 74616, 74616, 74616, 74624, 74624, 74624, 74624]","['09', '10', '11', '07', '16', '04', '07', '07', '04', '743', 'SL1', '04', '04', 'SL2', 'SL2', '04', '743', '746', 'SL1', 'SL2', '743', '746', 'SL1', 'SL2', '743', '746', 'SL1', 'SL2', '743', '746', 'SL1', 'SL2', '743', '746', 'SL1', 'SL2', '743', '746', 'SL1', 'SL2']"
South End,"[5, 5, 5, 59, 148, 1235, 5089, 5089, 5089, 5095, 5095, 5095, 5098, 5098, 5098, 10006, 10008, 10011, 10590, 11384, 15095, 23391, 36541, 71855, 71855]","['191', 'SL4', 'SL5', '01', '09', '43', '08', '10', 'CT3', '191', 'SL4', 'SL5', 'SL4', 'SL5', '191', '47', '47', '47', '01', '10', '11', '39', '09', '501', '504']"
West End,"[113, 114, 2829]","['04', '04', '111']"
West Roxbury,"[120, 609, 609, 609, 616, 616, 616, 621, 621, 763, 774, 774, 779, 779, 780, 781, 781, 781, 804, 804, 804, 804, 804, 810, 810, 810, 812, 812, 818, 818, 818, 820, 820, 831, 853, 1618, 1839, 1853, 1875, 1888, 5249, 5249, 5256, 5256, 5263, 6522, 8394, 10612, 10612, 10820, 10820, 11613, 11618, 11839, 67120, 67120, 85565, 85568]","['36', '34', '34E', '40', '34', '34E', '35', '34', '34E', '35', '36', '52', '36', '24', '35', '36', '24', '37', '35', '36', '24', '37', '38', '36', '24', '37', '36', '24', '24', '36', '52', '36', '52', '35', '37', '40', '51', '51', '51', '51', '35', '38', '35', '38', '38', '33', '52', '34', '34E', '36', '24', '40', '40', '37', '24', '36', '52', '24']"
