trip_id,trip_property_id,value
58651229,note,Waits at Mt Auburn St @ Story St for last Red Line train
58651229,trip_type,wait
58651352,note,Waits at Mt Auburn St @ Story St for last Red Line train
58651352,trip_type,wait
58651746,note,Waits at Lechmere for last Green Line train
58651746,trip_type,wait
58651773,note,Waits at Lechmere for last Green Line train
58651773,trip_type,wait
58651880,note,Waits at Lechmere for last Green Line train
58651880,trip_type,wait
58651955,note,Waits at Magazine St @ Green St for last Red Line train
58651955,trip_type,wait
58652117,note,Waits at Main St @ Kendall Station - Red Line for last Red Line train
58652117,trip_type,wait
58652226,note,Waits at Lechmere for last Green Line train
58652226,trip_type,wait
58652278,note,Waits at Green St @ Magazine St for last Red Line train
58652278,trip_type,wait
58652647,note,Waits at Harvard for last Red Line train
58652647,trip_type,wait
58653286,note,Waits at Maverick for last Blue Line train
58653286,trip_type,wait
58653357,note,Does not run during school vacation
58653357,trip_type,supplemental
58653358,note,Does not run during school vacation
58653358,trip_type,supplemental
58653359,note,Does not run during school vacation
58653359,trip_type,supplemental
58653360,note,Does not run during school vacation
58653360,trip_type,supplemental
58653361,note,Does not run during school vacation
58653361,trip_type,supplemental
58653362,note,Does not run during school vacation
58653362,trip_type,supplemental
58653363,note,Does not run during school vacation
58653363,trip_type,supplemental
58653364,note,Does not run during school vacation
58653364,trip_type,supplemental
58653365,note,Does not run during school vacation
58653365,trip_type,supplemental
58653366,note,Does not run during school vacation
58653366,trip_type,supplemental
58653367,note,Does not run during school vacation
58653367,trip_type,supplemental
58653368,note,Does not run during school vacation
58653368,trip_type,supplemental
58653369,note,Does not run during school vacation
58653369,trip_type,supplemental
58653370,note,Does not run during school vacation
58653370,trip_type,supplemental
58653371,note,Does not run during school vacation
58653371,trip_type,supplemental
58653372,note,Does not run during school vacation
58653372,trip_type,supplemental
58653373,note,Does not run during school vacation
58653373,trip_type,supplemental
58653374,note,Does not run during school vacation
58653374,trip_type,supplemental
58653452,note,Does not run during school vacation
58653452,trip_type,supplemental
58653578,note,Does not run during school vacation
58653578,trip_type,supplemental
58653617,note,Waits at Congress St @ Haymarket Sta for last Orange Line and Green Line trains
58653617,trip_type,wait
58653694,note,Waits at Maverick for last Blue Line train
58653694,trip_type,wait
58653906,note,Waits at Wonderland for last Blue Line train
58653906,trip_type,wait
58654142,note,Does not run during school vacation
58654142,trip_type,supplemental
58654657,note,Waits at Maverick for last Blue Line train
58654657,trip_type,wait
58654965,note,Waits at Congress St @ Haymarket Sta for last Orange Line and Green Line trains
58654965,trip_type,wait
58655042,note,Waits at Maverick for last Blue Line train
58655042,trip_type,wait
58655253,note,Waits at Wonderland for last Blue Line train
58655253,trip_type,wait
58656030,note,Waits at Maverick for last Blue Line train
58656030,trip_type,wait
58656208,note,Waits at Wonderland for last Blue Line train
58656208,trip_type,wait
58656218,note,Waits at Maverick for last Blue Line train
58656218,trip_type,wait
58656644,note,Waits at Maverick for last Blue Line train
58656644,trip_type,wait
58656858,note,Waits at Maverick for last Blue Line train
58656858,trip_type,wait
58657012,note,Waits at Wonderland for last Blue Line train
58657012,trip_type,wait
58658058,note,Waits at Maverick for last Blue Line train
58658058,trip_type,wait
58658272,note,Waits at Maverick for last Blue Line train
58658272,trip_type,wait
58658426,note,Waits at Wonderland for last Blue Line train
58658426,trip_type,wait
58682722,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
58682722,trip_type,wait
58682804,note,Waits at Mattapan for last Mattapan Trolley train
58682804,trip_type,wait
58682808,note,Waits at Ruggles for last Orange Line train
58682808,trip_type,wait
58683191,note,Waits at Back Bay for last Orange Line train
58683191,trip_type,wait
58683492,note,Waits at South Station for last Red Line train
58683492,trip_type,wait
58683898,note,Does not run during school vacation
58683898,trip_type,supplemental
58683899,note,Does not run during school vacation
58683899,trip_type,supplemental
58683900,note,Does not run during school vacation
58683900,trip_type,supplemental
58684267,note,Waits at South Station for last Red Line train
58684267,trip_type,wait
58703604,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
58703604,trip_type,wait
58703689,note,Waits at Mattapan for last Mattapan Trolley train
58703689,trip_type,wait
58703693,note,Waits at Ruggles for last Orange Line train
58703693,trip_type,wait
58704075,note,Waits at Back Bay for last Orange Line train
58704075,trip_type,wait
58704491,note,Waits at South Station for last Red Line train
58704491,trip_type,wait
58705008,note,Waits at South Station for last Red Line train
58705008,trip_type,wait
58705477,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
58705477,trip_type,wait
58705559,note,Waits at Mattapan for last Mattapan Trolley train
58705559,trip_type,wait
58705563,note,Waits at Ruggles for last Orange Line train
58705563,trip_type,wait
58705946,note,Waits at Back Bay for last Orange Line train
58705946,trip_type,wait
58706247,note,Waits at South Station for last Red Line train
58706247,trip_type,wait
58707014,note,Waits at South Station for last Red Line train
58707014,trip_type,wait
58713099,note,Waits at Forest Hills for last Orange Line train
58713099,trip_type,wait
58713454,note,Waits at Mattapan for last Mattapan Trolley train
58713454,note,Waits at Ashmont for last Red Line train
58713454,trip_type,wait
58713558,note,Waits at Forest Hills for last Orange Line train
58713558,trip_type,wait
58713748,note,Waits at Forest Hills for last Orange Line train
58713748,trip_type,wait
58714098,note,Waits at Ashmont for last Red Line train
58714098,trip_type,wait
58714132,note,Waits at Forest Hills for last Orange Line train
58714132,trip_type,wait
58717496,note,Waits at Forest Hills for last Orange Line train
58717496,trip_type,wait
58717734,note,Waits at Forest Hills for last Orange Line train
58717734,trip_type,wait
58717812,note,Waits at Forest Hills for last Orange Line train
58717812,trip_type,wait
58718033,note,Waits at Forest Hills for last Orange Line train
58718033,trip_type,wait
58748779,note,Waits at Quincy Center for last Red Line train
58748779,trip_type,wait
58748781,note,Waits at Fields Corner for last Red Line train
58748781,trip_type,wait
58749391,note,Waits at Fields Corner for last Red Line train
58749391,trip_type,wait
58749533,note,Waits at Quincy Center for last Red Line train
58749533,trip_type,wait
58750498,note,Does not run during school vacation
58750498,trip_type,supplemental
58750547,note,Does not run during school vacation
58750547,trip_type,supplemental
58750548,note,Does not run during school vacation
58750548,trip_type,supplemental
58750549,note,Does not run during school vacation
58750549,trip_type,supplemental
58750573,note,Does not run during school vacation
58750573,trip_type,supplemental
58750655,note,Waits at Fields Corner for last Red Line train
58750655,trip_type,wait
58750846,note,Does not run during school vacation
58750846,trip_type,supplemental
58750862,note,Does not run during school vacation
58750862,trip_type,supplemental
58750891,note,Waits at Quincy Center for last Red Line train
58750891,trip_type,wait
58751171,note,Does not run during school vacation
58751171,trip_type,supplemental
58751172,note,Does not run during school vacation
58751172,trip_type,supplemental
58751823,note,Waits at Fields Corner for last Red Line train
58751823,trip_type,wait
58751965,note,Waits at Quincy Center for last Red Line train
58751965,trip_type,wait
58752289,note,Waits at Fields Corner for last Red Line train
58752289,trip_type,wait
58752523,note,Waits at Quincy Center for last Red Line train
58752523,trip_type,wait
58771737,note,Waits at South Station for last Red Line train
58771737,trip_type,wait
58771908,note,Waits at Ruggles for last Orange Line train
58771908,trip_type,wait
58771910,note,Waits at Mattapan for last Mattapan Trolley train
58771910,trip_type,wait
58771914,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
58771914,trip_type,wait
