checkpoint_id,checkpoint_name
estws,Eastern Avenue @ Western Avenue
esxat,Essex & Atlantic Avenue (South Station)
eubrw,Euclid & Broadway
evrtc,Everett Square
ewalp,East Walpole
ewymt,East Weymouth (Bus)
fahsp,Centre Street @ Faulkner Hospital
fbkst,Fairbanks Street
fedfr,Federal & Franklin
fells,Front of Fellsway Garage on street
felwy,Fellsway @ Salem/Pleasant
fenwd,Fenwood Road
fenwy,Fenway Station
fercr,Ferry Street @ Cross Street
feriv,Fells & Riverside
fhill,Forest Hills Busway
field,Franklin Field Housing
five,Braintree Five Corners
fklin,Franklin Square
fldcr,Fields Corner
fnypk,Fenway Park
focor,Four Corners (Woburn)
forhl,Forest Hills
forvr,Fore River Shipyard
fourc,Four Corners (Dorchester)
fpond,Fresh Pond Parkway @ Concord Street
frkwa,Franklin Street @ Water Street
frnpk,Franklin Park
frpky,Fresh Pond Parkway
fvfrk,Five Forks
galli,Gallivan Boulevard @ Washington Street
garfi,Garfield Avenue & Clyde
gdmpk,Goodridge Street @ Memorial Park Avenue
genbo,Geneva Avenue @ Bowdoin Street
genco,Geneva Avenue @ Columbia Road
ghall,Grove Hall
gilmn,Gilman Square
glndl,Glendale Square
glnpk,Elm Street @ Ferry Street (Glendale Park)
glrdg,Glen Ridge Nursing Home
goodw,Goodwins Circle
gover,Government Center
govpk,Governor's Park
grana,Kennedy Dr (Granada)
grcpl,Granite & Copeland
green,Greenwood & Hyde Park
grigg,Griggs Street
grmnt,Germantown
grnst,Green Street
grnwd,Greenwood Commuter Rail
gtown,Georgetowne
guild,Guild Street (Norwood)
haecl,Haymarket
hanbe,Hancock @ Beale/Beach
harsq,Harvard
harvd,Harvard Avenue
hayms,Haymarket
heath,Heath Street Loop
hhgat,Harvard
hihar,High Street @ Harvard Avenue
hlbsq,Holbrook Square
hlcdr,Highland Avenue @ Cedar Street
hlong,Huntington Avenue & Longwood Avenue
hloop,Cambridge Common Loop
hlscl,Highland Avenue @ School Street (Somerville High School)
hnann,Hancock Street @ Saint Anns Road
hncot,Hancock Street @ Cottage Avenue
hngdpt,Hingham Depot
hnglf,Hancock Street @ Greenleaf Street (Central Middle School)
hnock,Hancock Street (Quincy)
holyk,Holyoke Street @ O'Callaghan Way (Lynn)
hpaml,Hyde Park Avenue @ American Legion Highway
hpave,Hyde Park Avenue @ Cummins Highway
hrand,Holbrook/Randolph Commuter Rail Depot
hrtwl,Bedford Street @ Hartwell Avenue
hrugg,Huntington & Ruggles
hsmnl,Heath Street
hsnck,Houghs Neck
hunbv,Huntington Avenue & Belvidere Street
huron,Huron Avenue
hvdcm,Harvard Avenue & Commonwealth Avenue
hwsst,Hawes Street
hymnl,Hynes Convention Center
hynes,Hynes Station
indwr,Industrial Park (West Roxbury) near VA Rivermoor
indws,Independence Avenue @ Washington Street (Braintree)
inman,Inman Square
isabl,Isabell Circle
islng,Islington Post Office
jaksn,Jackson Square
jasst,Jackson Square Station
jefpt,Jeffries Point Loop @ Maverick Street
jfk,JFK/UMass
jpctr,Jamaica Plain Center (Monument)
jqnsb,Jersey & Queensberry
kane,Kane Square
kenbs,Kenmore (Busway)
kencl,Kenmore
keyst,Keystone Apartments
kings,O'Callaghan Way & Kings
kndl,Kendall Station (Busway)
kneel,Kneeland Street
knncl,Kendall/MIT
kntst,Kent Street
LaCor,LaGrange & Corey Streets
lake,Boston College
latac,Warren Street @ Boston Latin Academy
lbrwy,L Street @ Broadway
lchmr,Lechmere Station
leban,Lebanon Street
lech,Lechmere
lexrv,Lexington Street @ River Street
libtr,Liberty Tree Mall
lindn,Linden Square (Malden)
linsh,Lincoln Street @ Silver Hill Lane
linwh,Linwood Housing
lngmd,Longwood Medical Area
lnlab,Lincoln Lab
logan,Logan Square (Hyde Park)
longw,Longwood
louis,Avenue Louis Pasteur (Boston Latin School)
ltnah,Little Nahant Road
lxcnt,Lexington Center
maboy,Massachusetts Avenue & Boylston Street
make,Massachusetts Avenue @ Lake Street
malcx,Malcom X Boulevard @ Roxbury Street
malst,Malden Center Station
maput,Massachusetts Avenue & Putnam Avenue
marbl,Marblehead
masis,Massachusetts Avenue @ Island Street
maspl,Massachusetts Avenue @ Pleasant Street
mass,Massachusetts Avenue & Huntington Avenue
masta,Massachusetts Avenue (Orange Line)
matpn,Mattapan Station
matt,Mattapan
mavck,Maverick Square (East Boston)
mavj,Maverick to Jeffries
mcgsm,McGrath Highway @ Somerville Avenue
mdftf,Medford/Tufts
mdgln,Locust @ Riverside (Meadow Glen Mall)
mdlsc,Middlesex @ Second Streets (Medford)
mdscl,Medford Street @ School Street (Somerville High School)
mdyca,"Moody & Carter Streets (Central Square, Waltham)"
medfd,Medford Square
melwa,Melnea Cass Boulevard @ Washington Street
mfa,Museum of Fine Arts
mfdmn,Medford Street @ Main Street
mfran,North Main Street @ Francis Drive
mglen,Main Street @ Glenwood Street
mgngl,Magoun Square
mgnsq,Magoun Square
mgrov,Main & Grove
mgrwa,McGrath Highway @ Washington Street
mhosp,Milton Hospital
midl,Middle Street (Braintree)
milk,Milk & Devonshire Street
miltn,River & Milton Streets
miltt,Milton
mispk,Mission Park
mit,MIT @ Massachusetts Avenue
mkpld,Market Place Drive (Waltham)
mkrmk,McCormack Housing
mktsq,Market Square (Lynn)
mktwe,Market & Western
mlmnl,Malden Center
mnbnk,Main Street @ Bunker Hill Street
mncrs,Main Street @ Cross Street
mngrg,Main Street @ George Street (Medford)
mnhen,Main Street @ Henry Street (Medford)
mntlo,Montello Commuter Rail Station
mntvl,Montvale & I-93
morse,Washington @ Morse
mort,Morton @ Gallivan
mortn,Morton Street @ Blue Hill Avenue
mount,Mountfort Street @ Commonwealth Avenue
mpark,Millennium Park
mport,Main & Porter
mrose,Melrose Highlands
mspnr,Royall St & Trailside Museum
mtalv,Mount Alvernia Academy
mtaub,Mount Auburn Bridge
mthsp,Mount Auburn Hospital
mtsty,Mount Auburn @ Story Street
mvbcl,Maverick
mwood,Maplewood Square
mysml,Market Basket (former Mystic Mall)
nbway,North Broadway (Malden)
ncsta,North Cambridge Station
ndhts,Needham Heights
nedhm,Needham Street @ Columbia Street
needj,Needham Junction
nepad,Neponset Avenue @ Adams Street
nepon,Neponset Circle
neptw,Neptune Towers
newbl,Newport Avenue @ Beale Street (Wollaston Station)
newct,Newton Centre
newoc,New Ocean Street & Eastern Avenue
newtn,Newton Highlands
newto,Newton Centre
ngate,Northgate Shopping Center
nhvws,North Harvard & Western
nobev,North Beverly
north,North Station
nostr,North Street
nqncy,North Quincy
nrand,North Randolph
nshor,Northshore Mall
nubn,Nubian Station
nuniv,Northeastern University
nwbhl,Newbury Avenue @ Hollis Avenue (Atlantic Middle School)
nwcor,Newton Corner (Bus)
nwobn,North Woburn
nwthl,Newton Highlands
nwtup,Newton Upper Falls
nwtvl,Newtonville
oak,Oak Hill (Newton)
oakpk,Oak Park (Bedford)
oaksq,Oak Square
oakvl,Oaklandvale
ogmnl,Oak Grove
okgrv,Oak Grove Station
orhgt,Orient Heights Station
orhte,Orient Heights
orhw,Orient Heights to Waldemar
osbrn,O'Callaghan Way & Osborne Street
otdow,Otis Street & Downer Avenue
otsum,Otis & Summer Streets
parkc,Park Circle
pckrd,Granite Street @ Packards Lane
pebdy,Peabody Square (Peabody)
perks,Perkins Square (Dorchester) @ Broadway (Southbound)
peter,Saint Peter's Square (Dorchester)
philp,Phillips Beach (Swampscott)
pierc,Pierce Square
pines,Point of Pines
pktrm,Park Street
pkwy,West Roxbury Parkway @ Centre
plast,Playstead Road
plsmn,Pleasant Street @ Main Street
plsnt,Pleasant Street
plwas,Pleasant & Washington (Weymouth)
pmall,Puritan Mall
pomet,Poplar Street @ Metropolitan Avenue
portr,Porter Square
powdr,Powder House
ppth,Pemberton Point (Hull)
prkbn,Park Drive @ Beacon Street
prksq,Park Square (Charles Street)
prkwl,Parker Street @ Wheeler
prlcg,Pearl Street @ Congress Street
prmnl,Prudential
proby,Prospect Street @ Broadway
prpct,Broadway @ Prospect Street
prplz,President Plaza
prsgc,Presidents Golf Course
pshly,Point Shirley
qadam,Quincy Adams Station (Busway)
qamnl,Quincy Adams
qctrr,Quincy Center Station (Rear)
qnctr,Quincy Center
quncy,Quincy Bus Garage
rbmnl,Revere Beach
rbrts,Roberts
rcith,Revere City Hall
rcmnl,Roxbury Crossing
rdran,Reedsdale Road @ Randolph Avenue
rdstn,Redstone Shopping Plaza
readc,Reading Commuter Rail Depot
readv,Readville Station
resbu,Reservoir Busway
revhs,Revere House
rindg,Rindge Avenue
rivcm,River Street @ Cummins Highway
river,Riverside
rivsd,Riverside
rosec,Roosevelt Circle
rossq,Roslindale Square
roxbs,Roxbury Crossing Station (Bus)
rsmnl,Reservoir
rugg,Ruggles
rvcen,River Street @ Central Avenue
rvrwy,Riverway
salem,Salem Center
saspr,Salem Street @ Sprague Street
saug,Saugus Center
saugpl,Saugus Plaza
sbmnl,Stony Brook
sbpfd,Sawmill Brook Pkwy
sdmnl,Suffolk Downs
seasl,Seaport Boulevard @ Sleeper Street
seast,Sea Street @ Palmer Street
shmnl,Savin Hill
shosp,Shattuck Hospital
shpyd,Hingham Shipyard
shunt,Centre Street & South Huntington Avenue
slmct,Salem Center
slmhp,Salem & Humphrey (Swampscott)
slvwa,Silver Line @ Washington Street
smary,Saint Mary's Street
smhsp,Salem Hospital
smmnl,Shawmut
smore,Sagamore & Washington
smvpk,Somerville Avenue @ Park Street
snctr,Memorial Senior Center
sobay,South Bay Mall
sosea,Southern Artery @ Sea Street
sosta,South Station
sougr,South Street
soust,South Station (Silver Line)
south,Grove & South Streets
spmnl,Science Park/West End
sqntm,Squantum
sqone,Sqaure One Mall
sring,Spring Street @ Centre Street
ssplz,South Shore Plaza
sstat,South Station
state,State
statx,State (Express Bus)
sthld,Sutherland Road
stims,Stimson Street @ Washington Street
stjim,Saint James Avenue @ Dartmouth Street
stone,Stoneham Square
stpul,Saint Paul Street
sull,Sullivan Square
sumav,Summit Avenue
sunms,Network Drive (old Sun Microsystems)
svrhm,Seaver & Humboldt
sweet,Sweester Circle
symcl,Symphony
tapst,Tappan Street
tc128,TradeCenter 128
teele,Teele Square @ Broadway
templ,Temple Street @ Tremont Street
terma,Terminal A (Logan Airport)
termc,Terminal C (Logan Airport)
terme,Terminal E (Logan Airport)
thche,Third Street @ Chestnut Street
thmrs,Thurgood Marshall Middle School
thosa,1000 Southern Artery
thrdb,Third Avenue (Burlington)
tmslw,Tomasello Way
tomsu,Tomlin & Summit
towhm,Townsend Street @ Humboldt Avenue (Latin Academy)
tozer,Tozer Road (Beverly)
tpthd,Totten Pond Road @ Third Avenue
trade,World Trade Center
tred,Tremont Street @ Darthmouth/West Dedham Streets
trkhl,Turkey Hill Loop
trmas,Tremont & Massachusetts Avenue
trmb1,Terminal B Stop 1 (Logan Airport)
trmb2,Terminal B Stop 2 (Logan Airport)
trmcd,Terminal C (formerly D) (Logan Airport)
tufts,Tufts Square
tumed,Washington Street @ Tufts Medical Center
tumnl,Tufts Medical Center
umass,"University of Massachusetts, Boston"
union,Union Square
unsqu,Union Square
unvpk,University Park (Cambridge)
upham,Uphams Corner
uphgh,Upper Highland
upwav,Upham & Waverly
vaded,VA Hospital (Dedham)
vahsp,VA Hospital
valrd,Valley Road
vasma,Vassar @ Massachusetts Avenue
vasme,Vassar @ Memorial Drive
vfcor,VFW Parkway @ Corey Street
vinsq,Vinnin Square
waban,Waban
wacol,Washington Street & Columbia Road
wacry,Washington & Cary
wadsw,Wadsworth Road
waher,Washington Street @ Herald Street
wakav,Wakefield Avenue
wakef,Wakefield Square
waite,Waitt Avenue @ President Street (Lynn)
walag,Washington Street @ LaGrange Street
walth,Central Square (Waltham)
wamet,Washington Street @ Metropolitan Avenue
wamid,Washington & Middle Streets
warbp,Washington Avenue @ Revere Beach Parkway
warrd,Washington Street @ Railroad Avenue
warwl,Warren Street @ Walnut Avenue
wascm,Washington Street
wasgr,Washington Street @ Green Street
wasma,Massachusetts Avenue @ Washington
wassa,Washington Street @ Southern Artery
wasum,Western Avenue & Burns Street (Swing Off)
waver,Waverley Street
wavsq,Waverley Square
wawbw,Washington Street @ West Boundary Road
wdfst,West @ Deforest Street
webrk,Washington & East Berkeley
webst,Broadway & Webster
wellh,Wellington Hill
welln,Wellington
welnd,Weymouth Landing
welst,Wellington Station
westh,Westinghouse Industrial Area
weswa,Washington Street @ Western Avenue
weyln,Weymouth Landing
whill,Winter Hill
wicir,Winthrop Circle
wimnl,Wood Island
winpst,Winthrop Police Station
winsq,Winchester Square
wldcp,Willard Street @ Copeland Street
wlsta,Wollaston
wlynn,Lynn Garage
wnbch,Winthrop Beach (Paul Revere)
wnbrk,Winthrop Street @ Brooks Street (Medford High School)
wnhvd,Western Avenue @ North Harvard
wnshp,Winship Street
wnwtn,West Newton
wobch,Wollaston Beach
wobsq,Woburn Square
wobur,Woburn Line
wolsq,Wolcott Square
wondl,Wonderland
wondw,Wonderland Station West
woodc,Woodlawn
woodi,Wood Island Station
woodl,Woodland
wowin,Woburn/Winchester Line
wren,Wren Street
wrnst,Warren Street
wrox,Centre & LaGrange (West Roxbury)
wshso,Washington & South Streets
wtcst,World Trade Center
wtrhs,Watertown High School
wtrsq,Watertown Square
wtrwm,Watertown/Waltham Line
wtryd,Watertown Yard
wwlrd,West & Willard Streets
wyoma,Wyoma Square
wyomc,Wyoming Square
