service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
CR-Newburyport-LynnShuttleFll-Std,0,0,0,0,0,1,0,20231014,20231216
CR-Newburyport-LynnShuttleFll-Wkd,1,1,1,1,1,0,0,20231011,20231215
FLL 23-N-Sa-1-S6d,0,0,0,0,0,1,0,20231111,20231216
FLL 23-N-Sa-1-S9f,0,0,0,0,0,1,0,20231104,20231216
FLL 23-N-Sa-5,0,0,0,0,0,1,0,20231014,20231104
FLL 23-N-Sa-6,0,0,0,0,0,1,0,20231014,20231028
FLL 23-N-Su-1,0,0,0,0,0,0,1,20231015,20231210
FLL 23-N-Su-1-S6d,0,0,0,0,0,0,1,20231112,20231210
FLL 23-N-Su-1-S72,0,0,0,0,0,0,1,20231015,20231210
FLL 23-N-Su-1-S9f,0,0,0,0,0,0,1,20231105,20231210
FLL 23-N-Su-5,0,0,0,0,0,0,1,20231015,20231105
FLL 23-N-Su-6,0,0,0,0,0,0,1,20231015,20231029
FLL 23-N-Wdy-1,1,1,1,1,1,0,0,20231106,20231215
FLL 23-N-Wdy-5,1,1,1,1,1,0,0,20231011,20231103
FLL 23-S-Sa-1-Sb0e4ed14-AshCldFrmShlDn,0,0,0,0,0,1,0,20231014,20231125
FLL 23-S-Sa-1-Sb4,0,0,0,0,0,1,0,20231202,20231216
FLL 23-S-Su-1,0,0,0,0,0,0,1,20231015,20231210
FLL 23-S-Su-1-S86,0,0,0,0,0,0,1,20231015,20231210
FLL 23-S-Su-1-S8f,0,0,0,0,0,0,1,20231015,20231210
FLL 23-S-Su-1-Sb0e4ed14-AshCldFrmShlDn,0,0,0,0,0,0,1,20231015,20231126
FLL 23-S-Su-1-Sb4,0,0,0,0,0,0,1,20231203,20231210
FLL 23-S-Su-1-Sb6,0,0,0,0,0,0,1,20231015,20231210
FLL 23-S-Su-1-Sc0,0,0,0,0,0,0,1,20231015,20231210
FLL 23-S-Su-1-Sc5,0,0,0,0,0,0,1,20231015,20231210
FLL 23-S-Su-70,0,0,0,0,0,0,1,20231022,20231022
FLL 23-S-Wdy-1-Sb0e4ed14-AshCldFrmShlDn,1,1,1,1,1,0,0,20231011,20231201
FLL 23-S-Wdy-1-Sb4,1,1,1,1,1,0,0,20231204,20231215
FllSnd,0,0,0,0,0,0,1,20231015,20231210
FllStd,0,0,0,0,0,1,0,20231014,20231216
FllWkd,1,1,1,1,1,0,0,20231011,20231215
FlrStd,0,0,0,0,0,1,0,20231014,20231216
FlrWkd,1,1,1,1,1,0,0,20231011,20231215
LRV423-hlb43011-Wdy-01,1,1,1,1,1,0,0,20231013,20231215
LRV423-hlb43011-Wdy-01-ea3ee057,0,0,1,1,0,0,0,20231011,20231012
LRV423-hlm43011-Wdy-01,1,1,1,1,1,0,0,20231030,20231215
LRV423-hlm43016-Sa-01,0,0,0,0,0,1,0,20231104,20231216
LRV423-hlm43017-Su-01,0,0,0,0,0,0,1,20231105,20231210
PRIV423-hpa43011-Wdy-01,1,1,1,1,1,0,0,20231011,20231215
PRIV423-hpd43as1-Wdy-01,1,1,1,1,1,0,0,20231016,20231027
PRIV423-hpd43as6-Sa-02,0,0,0,0,0,1,0,20231014,20231028
PRIV423-hpd43as7-Su-02,0,0,0,0,0,0,1,20231015,20231029
PRIV423-hpj43011-Wdy-01,1,1,1,1,1,0,0,20231011,20231215
PRIV423-hpj43017-Su-01,0,0,0,0,0,0,1,20231015,20231210
RTL423-hmb43011-Wdy-01,1,1,1,1,1,0,0,20231011,20231215
RTL423-hmo43011-Wdy-01,1,1,1,1,1,0,0,20231013,20231215
RTL423-hmo43011-Wdy-01-HOL,0,0,1,1,0,0,0,20231011,20231012
RTL423-hms43as1-Wdy-01,1,1,1,1,1,0,0,20231016,20231027
RTL423-hms43as6-Sa-01,0,0,0,0,0,1,0,20231014,20231028
RTL423-hms43as7-Su-01,0,0,0,0,0,0,1,20231015,20231029
RTL423-hms43sp1-Wdy-01,1,1,1,1,1,0,0,20231030,20231215
RTL423-hms43sp6-Sa-01,0,0,0,0,0,1,0,20231104,20231216
RTL423-hms43sp7-Su-01,0,0,0,0,0,0,1,20231105,20231210
ThgD,0,0,0,0,0,0,0,20231123,20231123
VeteransDay(Observed)-DfrThgD,0,0,0,0,0,0,0,20231110,20231124
canonical,0,0,0,0,0,0,0,20231011,20231216
