added_route_id,trip_id
743,58798626
741,58798628
742,58798628
743,58798628
741,58798630
742,58798630
743,58798630
741,58798632
742,58798632
743,58798632
741,58798634
742,58798634
743,58798634
741,58798636
742,58798636
743,58798636
741,58798638
742,58798638
743,58798638
741,58798640
742,58798640
743,58798640
741,58798641
742,58798641
743,58798641
741,58798644
742,58798644
743,58798644
741,58798646
742,58798646
743,58798646
741,58798648
742,58798648
743,58798648
741,58798650
742,58798650
743,58798650
741,58798651
742,58798651
743,58798651
741,58798668
742,58798668
743,58798668
741,58799308
742,58799308
743,58799308
741,58799317
742,58799317
743,58799317
741,58799318
742,58799318
743,58799318
741,58799458
742,58799458
743,58799458
741,58799514
742,58799514
743,58799514
741,58799517
742,58799517
743,58799517
741,58799759
742,58799759
743,58799759
741,58799763
742,58799763
743,58799763
741,58799770
742,58799770
743,58799770
741,58799771
742,58799771
743,58799771
741,58799772
742,58799772
743,58799772
741,58799778
742,58799778
743,58799778
741,58799779
742,58799779
743,58799779
741,58799780
742,58799780
743,58799780
741,58799781
742,58799781
743,58799781
741,58799782
742,58799782
743,58799782
741,58799783
742,58799783
743,58799783
741,58799784
742,58799784
743,58799784
741,58634555
742,58634555
743,58634555
741,58634556
742,58634556
743,58634556
741,58634559
742,58634559
743,58634559
741,58634561
742,58634561
743,58634561
741,58634563
742,58634563
743,58634563
741,58634565
742,58634565
743,58634565
741,58634566
742,58634566
743,58634566
741,58634568
742,58634568
743,58634568
741,58634571
742,58634571
743,58634571
741,58634573
742,58634573
743,58634573
741,58634575
742,58634575
743,58634575
741,58634576
742,58634576
743,58634576
741,58634578
742,58634578
743,58634578
741,58634580
742,58634580
743,58634580
741,58634582
742,58634582
743,58634582
741,58634584
742,58634584
743,58634584
741,58634586
742,58634586
743,58634586
741,58634588
742,58634588
743,58634588
741,58634590
742,58634590
743,58634590
741,58634592
742,58634592
743,58634592
741,58634594
742,58634594
743,58634594
741,58634596
742,58634596
743,58634596
741,58634598
742,58634598
743,58634598
741,58634600
742,58634600
743,58634600
741,58634953
742,58634953
743,58634953
741,58634954
742,58634954
743,58634954
741,58634955
742,58634955
743,58634955
741,58634956
742,58634956
743,58634956
741,58635446
742,58635446
743,58635446
741,58635447
742,58635447
743,58635447
741,58635448
742,58635448
743,58635448
741,58635449
742,58635449
743,58635449
741,58635450
742,58635450
743,58635450
741,58635453
742,58635453
743,58635453
741,58635478
742,58635478
743,58635478
741,58635479
742,58635479
743,58635479
741,58635480
742,58635480
743,58635480
741,58666648
742,58666648
743,58666648
741,58666667
742,58666667
743,58666667
741,58666669
742,58666669
743,58666669
741,58666671
742,58666671
743,58666671
741,58666686
742,58666686
743,58666686
741,58666687
742,58666687
743,58666687
741,58666690
742,58666690
743,58666690
741,58674088
742,58674088
743,58674088
741,58674096
742,58674096
743,58674096
741,58674097
742,58674097
743,58674097
741,58725427
742,58725427
743,58725427
741,58776757
742,58776757
743,58776757
741,58776766
742,58776766
743,58776766
741,58776767
742,58776767
743,58776767
741,58776768
742,58776768
743,58776768
741,58776769
742,58776769
743,58776769
741,58776770
742,58776770
743,58776770
741,58776771
742,58776771
743,58776771
741,58776772
742,58776772
743,58776772
741,58776773
742,58776773
743,58776773
741,58776774
742,58776774
743,58776774
741,58776775
