route_id,direction_id,travel_time
350,Inbound,0 days 17:07:00
350,Outbound,0 days 17:26:00
351,Inbound,0 days 11:44:00
351,Outbound,0 days 11:42:00
354,Inbound,0 days 13:51:00
354,Outbound,0 days 13:54:00
36,Inbound,0 days 20:52:00
36,Outbound,0 days 20:49:00
37,Inbound,0 days 14:09:00
37,Outbound,0 days 13:57:00
38,Inbound,0 days 17:50:00
38,Outbound,0 days 17:34:00
39,Inbound,0 days 20:11:00
39,Outbound,0 days 20:03:00
40,Inbound,0 days 16:04:00
40,Outbound,0 days 16:02:00
41,Inbound,0 days 15:29:00
41,Outbound,0 days 16:24:00
411,Inbound,0 days 14:09:00
411,Outbound,0 days 13:59:00
42,Inbound,0 days 19:45:00
42,Outbound,0 days 19:50:00
424,Inbound,0 days 02:47:00
424,Outbound,0 days 02:57:00
426,Inbound,0 days 18:24:00
426,Outbound,0 days 19:39:00
428,Inbound,0 days 02:06:00
428,Outbound,0 days 02:13:00
429,Inbound,0 days 18:02:00
429,Outbound,0 days 16:34:00
43,Inbound,0 days 19:53:00
43,Outbound,0 days 19:52:00
430,Inbound,0 days 16:11:00
430,Outbound,0 days 16:02:00
435,Inbound,0 days 17:26:00
435,Outbound,0 days 16:51:00
436,Inbound,0 days 12:46:00
436,Outbound,0 days 13:47:00
439,Inbound,0 days 12:46:00
439,Outbound,0 days 12:30:00
44,Inbound,0 days 19:46:00
44,Outbound,0 days 19:51:00
441,Inbound,0 days 14:09:00
441,Outbound,0 days 14:11:00
442,Inbound,0 days 19:27:00
442,Outbound,0 days 20:23:00
45,Inbound,0 days 20:11:00
45,Outbound,0 days 20:19:00
450,Inbound,0 days 19:58:00
450,Outbound,0 days 19:51:00
451,Inbound,0 days 13:12:00
451,Outbound,0 days 13:25:00
455,Inbound,0 days 20:19:00
455,Outbound,0 days 19:43:00
456,Inbound,0 days 05:41:00
456,Outbound,0 days 05:58:00
47,Inbound,0 days 20:13:00
47,Outbound,0 days 20:11:00
50,Inbound,0 days 13:18:00
50,Outbound,0 days 13:17:00
501,Inbound,0 days 13:10:00
501,Outbound,0 days 13:24:00
504,Inbound,0 days 13:21:00
504,Outbound,0 days 13:49:00
505,Inbound,0 days 13:31:00
505,Outbound,0 days 13:52:00
51,Inbound,0 days 15:49:00
51,Outbound,0 days 16:00:00
52,Inbound,0 days 12:21:00
52,Outbound,0 days 12:33:00
55,Inbound,0 days 06:13:00
55,Outbound,0 days 05:39:00
553,Inbound,0 days 14:45:00
553,Outbound,0 days 14:43:00
554,Inbound,0 days 13:11:00
554,Outbound,0 days 13:14:00
556,Inbound,0 days 13:28:00
556,Outbound,0 days 12:32:00
558,Inbound,0 days 13:18:00
558,Outbound,0 days 11:54:00
57,Inbound,0 days 20:01:00
57,Outbound,0 days 20:04:00
59,Inbound,0 days 14:02:00
59,Outbound,0 days 13:34:00
60,Inbound,0 days 19:56:00
60,Outbound,0 days 19:52:00
61,Inbound,0 days 14:23:00
61,Outbound,0 days 14:10:00
62,Inbound,0 days 16:49:00
62,Outbound,0 days 16:53:00
64,Inbound,0 days 19:32:00
64,Outbound,0 days 20:07:00
65,Inbound,0 days 14:29:00
65,Outbound,0 days 14:46:00
66,Inbound,0 days 20:51:00
66,Outbound,0 days 20:58:00
67,Inbound,0 days 14:07:00
67,Outbound,0 days 14:20:00
68,Inbound,0 days 11:43:00
68,Outbound,0 days 11:46:00
69,Inbound,0 days 20:00:00
69,Outbound,0 days 20:05:00
70,Inbound,0 days 20:05:00
70,Outbound,0 days 21:04:00
71,Inbound,0 days 20:29:00
71,Outbound,0 days 20:45:00
73,Inbound,0 days 20:30:00
73,Outbound,0 days 20:42:00
74,Inbound,0 days 19:57:00
74,Outbound,0 days 19:53:00
743,Inbound,0 days 20:55:00
743,Outbound,0 days 21:00:00
75,Inbound,0 days 20:14:00
75,Outbound,0 days 19:54:00
76,Inbound,0 days 13:18:00
76,Outbound,0 days 13:18:00
77,Inbound,0 days 20:12:00
77,Outbound,0 days 20:17:00
78,Inbound,0 days 19:26:00
78,Outbound,0 days 19:10:00
80,Inbound,0 days 20:12:00
80,Outbound,0 days 20:11:00
83,Inbound,0 days 19:53:00
83,Outbound,0 days 20:01:00
85,Inbound,0 days 14:04:00
85,Outbound,0 days 14:05:00
86,Inbound,0 days 19:36:00
86,Outbound,0 days 19:41:00
87,Inbound,0 days 20:12:00
87,Outbound,0 days 20:11:00
88,Inbound,0 days 20:01:00
88,Outbound,0 days 20:02:00
89,Inbound,0 days 20:50:00
89,Outbound,0 days 20:48:00
90,Inbound,0 days 15:28:00
90,Outbound,0 days 16:30:00
91,Inbound,0 days 20:16:00
91,Outbound,0 days 20:11:00
92,Inbound,0 days 16:51:00
92,Outbound,0 days 16:34:00
93,Inbound,0 days 20:22:00
93,Outbound,0 days 20:55:00
94,Inbound,0 days 19:28:00
94,Outbound,0 days 19:12:00
95,Inbound,0 days 20:01:00
95,Outbound,0 days 20:58:00
96,Inbound,0 days 20:17:00
96,Outbound,0 days 20:00:00
97,Inbound,0 days 13:31:00
97,Outbound,0 days 12:34:00
99,Inbound,0 days 19:22:00
99,Outbound,0 days 18:58:00
