FID,Shape_Leng,shape_id,route_id,agency_id,route_shor,route_long,route_desc,route_type,route_url,route_colo,route_text,route_sort,route_fare,line_id,listed_rou,route_ty_1,Shape__Length
26,0.108303773134,1129916779,fabc7a29,1,T104,modified - HF (Malden-Everett-Chelsea-Wood Island), ,3, ,005BAA,ffffff, ,Local Bus, , ,Bus,13723.6046967322
27,0.0855566604178,1129916780,ebbba4cb,1,T16,modified - HF (Forest Hills-Uphams-Andrew), ,3, ,005BAA,ffffff, ,Local Bus, , ,Bus,10688.1386444773
28,0.0857434602458,1129916781,ebbba4cb,1,T16,modified - HF (Forest Hills-Uphams-Andrew), ,3, ,005BAA,ffffff, ,Local Bus, , ,Bus,10644.8988877745
29,0.177655011153,1129916782,c31bc857,1,T15,modified - HF (Oak Square-LMA-Nubian-Kane Square), ,3, ,C9500E,ffffff, ,Local Bus, , ,Bus,21657.2307888594
30,0.174660202387,1129916783,c31bc857,1,T15,modified - HF (Oak Square-LMA-Nubian-Kane Square), ,3, ,C9500E,ffffff, ,Local Bus, , ,Bus,21524.8727825381
31,0.0782336840337,1129916784,7f8208b4,1,T1,- HF (Harvard-Back Bay-Nubian), ,3, ,066A40,ffffff, ,Local Bus, , ,Bus,10029.9986039877
32,0.0755763679615,1129916785,7f8208b4,1,T1,- HF (Harvard-Back Bay-Nubian), ,3, ,066A40,ffffff, ,Local Bus, , ,Bus,9758.67707888645
33,0.0795157677076,1129916786,d4ee30c3,1,T23,- HF (Ashmont-Nubian-Ruggles), ,3, ,066A40,ffffff, ,Local Bus, , ,Bus,10641.0994075811
34,0.0830184355959,1129916787,d4ee30c3,1,T23,- HF (Ashmont-Nubian-Ruggles), ,3, ,066A40,ffffff, ,Local Bus, , ,Bus,10944.6458676344
35,0.122955121185,1129916788,9092f999,1,T28,modified - HF (Mattapan-Nubian-Kenmore), ,3, ,613FA6,ffffff, ,Local Bus, , ,Bus,16587.198131222
36,0.113752798149,1129916789,9092f999,1,T28,modified - HF (Mattapan-Nubian-Kenmore), ,3, ,613FA6,ffffff, ,Local Bus, , ,Bus,15543.8999018263
37,0.107573005984,1129916790,3c9ad353,1,T57,- HF (Watertown Square-Oak Square-Kenmore), ,3, ,5A8400,ffffff, ,Local Bus, , ,Bus,12567.1735997227
38,0.101534982359,1129916791,3c9ad353,1,T57,- HF (Watertown Square-Oak Square-Kenmore), ,3, ,5A8400,ffffff, ,Local Bus, , ,Bus,11899.6798549867
39,0.0791124018075,1129916792,ae75568d,1,T71,- HF (Watertown-Harvard), ,3, ,005BAA,ffffff, ,Local Bus, , ,Bus,9232.24639381612
40,0.0744030251366,1129916793,ae75568d,1,T71,- HF (Watertown-Harvard), ,3, ,005BAA,ffffff, ,Local Bus, , ,Bus,8677.55355339011
41,0.0864784638256,1129916794,40cd6582,1,T73,- HF (Waverly-Harvard), ,3, ,005BAA,ffffff, ,Local Bus, , ,Bus,10115.8447863305
42,0.0797916711285,1129916795,40cd6582,1,T73,- HF (Waverly-Harvard), ,3, ,005BAA,ffffff, ,Local Bus, , ,Bus,9314.36732277903
43,0.0882350808947,1129916796,7b36405c,1,T111,- HF (Woodlawn-Chelsea-Haymarket), ,3, ,613FA6,ffffff, ,Local Bus, , ,Bus,11564.105866041
44,0.0923968028613,1129916797,7b36405c,1,T111,- HF (Woodlawn-Chelsea-Haymarket), ,3, ,613FA6,ffffff, ,Local Bus, , ,Bus,12109.4553348912
45,0.089429607432,1129916798,a5738fe3,1,T116,- HF (Wonderland-Chelsea-Maverick), ,3, ,A92023,ffffff, ,Local Bus, , ,Bus,11857.378791567
46,0.0936916673526,1129916799,a5738fe3,1,T116,- HF (Wonderland-Chelsea-Maverick), ,3, ,A92023,ffffff, ,Local Bus, , ,Bus,12459.8051928849
47,0.0966559736707,1129916800,c05de490,1,T22,modified - HF (Ashmont-LMA), ,3, ,A92023,ffffff, ,Local Bus, , ,Bus,12265.0200420657
48,0.099019890787,1129916801,c05de490,1,T22,modified - HF (Ashmont-LMA), ,3, ,A92023,ffffff, ,Local Bus, , ,Bus,12756.6891519264
49,0.108853436066,1129916802,7f875559,1,T66,modified - HF (Harvard-Allston-Nubian), ,3, ,A72051,ffffff, ,Local Bus, , ,Bus,13827.638369115
50,0.110723076159,1129916803,7f875559,1,T66,modified - HF (Harvard-Allston-Nubian), ,3, ,A72051,ffffff, ,Local Bus, , ,Bus,13982.9773356748
51,0.127959502282,1129916804,02999e9e,1,105,modified - MF (Saugus-Malden), ,3, ,007DBD,ffffff, ,Local Bus, , ,Bus,16606.9377160285
52,0.143822824119,1129916805,02999e9e,1,105,modified - MF (Saugus-Malden), ,3, ,007DBD,ffffff, ,Local Bus, , ,Bus,18807.0519125911
53,0.296593649159,1129916806,812f6b2b,1,133,- WF+ (Anderson-Woburn-Stoneham-Melrose), ,3, ,C9500E,ffffff, ,Local Bus, , ,Bus,37159.0163686209
54,0.271966617237,1129916807,812f6b2b,1,133,- WF+ (Anderson-Woburn-Stoneham-Melrose), ,3, ,C9500E,ffffff, ,Local Bus, , ,Bus,34901.9318922309
55,0.172077184559,1129916808,7c443354,1,350,modified - WF+ (Burlington-Arlington-Alewife), ,3, ,A92023,ffffff, ,Local Bus, , ,Bus,23307.4549286768
56,0.17382939883,1129916809,7c443354,1,350,modified - WF+ (Burlington-Arlington-Alewife), ,3, ,A92023,ffffff, ,Local Bus, , ,Bus,23452.0846791226
57,0.263263052702,1129916810,f2fd8e2d,1,76,modified - XF (Lexington-Alewife), ,3, ,613FA6,ffffff, ,Local Bus, , ,Bus,29850.5193898129
58,0.25922764609,1129916811,f2fd8e2d,1,76,modified - XF (Lexington-Alewife), ,3, ,613FA6,ffffff, ,Local Bus, , ,Bus,29222.063018671
59,0.148498584444,1129916812,18be4e6c,1,87,modified - MF (Turkey Hill-Arlington-Medford-Tufts-Sullivan), ,3, ,A72051,ffffff, ,Local Bus, , ,Bus,18177.0153094672
60,0.158464838682,1129916813,18be4e6c,1,87,modified - MF (Turkey Hill-Arlington-Medford-Tufts-Sullivan), ,3, ,A72051,ffffff, ,Local Bus, , ,Bus,19610.266338634
61,0.144721370255,1129916814,d61640c8,1,59,modified - WF+ (Needham Junction-Newton Highlands-Watertown Square), ,3, ,007DBD,ffffff, ,Local Bus, , ,Bus,19626.4725598531
